step,s,g_eff
1,0.0,2.6954543105546084e-17
2,0.02040816326530612,2.977900477903551e-17
3,0.04081632653061224,2.326278486488034e-17
4,0.061224489795918366,1.801136355269293e-17
5,0.08163265306122448,1.9236553991857568e-17
6,0.10204081632653061,1.4420554406851264e-17
7,0.12244897959183673,2.37746315151538e-17
8,0.14285714285714285,6.56294979026307e-13
9,0.16326530612244897,9.026017873786548e-6
10,0.1836734693877551,0.01835009458116747
11,0.20408163265306123,0.062472726368345444
12,0.22448979591836735,0.06283185243641097
13,0.24489795918367346,0.06283185307179585
14,0.2653061224489796,0.06283185307179587
15,0.2857142857142857,0.06283185307179585
16,0.30612244897959184,0.06283185307179585
17,0.32653061224489793,0.06283185307179585
18,0.3469387755102041,0.06283185307179585
19,0.3673469387755102,0.06283185307179587
20,0.3877551020408163,0.06283185307179587
21,0.40816326530612246,0.06283185307179585
22,0.42857142857142855,0.06283185307179585
23,0.4489795918367347,0.06283185307179587
24,0.46938775510204084,0.06283185307179587
25,0.4897959183673469,0.06283185307179587
26,0.5102040816326531,0.06283185307179585
27,0.5306122448979592,0.06283185307179585
28,0.5510204081632653,0.06283185307179587
29,0.5714285714285714,0.06283185307179585
30,0.5918367346938775,0.06283185307179585
31,0.6122448979591837,0.06283185307179585
32,0.6326530612244898,0.06283185307179585
33,0.6530612244897959,0.06283185307179584
34,0.673469387755102,0.06283185307179587
35,0.6938775510204082,0.06283185307179585
36,0.7142857142857143,0.06283185307179585
37,0.7346938775510204,0.06283185307179585
38,0.7551020408163265,0.06283185307179587
39,0.7755102040816326,0.06283185243641096
40,0.7959183673469388,0.062472726368345444
41,0.8163265306122449,0.01835009458116716
42,0.8367346938775511,9.026017873786238e-6
43,0.8571428571428571,6.562977937276646e-13
44,0.8775510204081632,2.2490071428095037e-17
45,0.8979591836734694,1.8341432496873517e-17
46,0.9183673469387755,1.3540151925274519e-17
47,0.9387755102040817,8.485451250460902e-18
48,0.9591836734693877,4.939642540370794e-18
49,0.9795918367346939,2.874260956819881e-17
50,1.0,3.81157222991737e-17
