Error,Default,Variational,Toggling,Universal
X₁,0.21727633073384708,0.7189952753664891,0.5126435311472468,0.1507330541098421
Y₁,0.2708476835380963,0.2660681431982332,0.5665217586127824,0.3409284869650704
Z₁,0.7733224616036076,0.10228254293479858,0.04465241225809119,0.6834904144665794
X₂,0.21702835765091477,0.6312100798989392,0.26771619915943645,0.2803824813304026
Y₂,0.27065007737510294,0.15686020870131945,0.33094607710782475,0.24799300941396107
Z₂,0.7733220581566153,0.10199896196282335,0.03358381643193325,0.14816422391802941
XX,0.7403598995869367,0.6273017501003078,0.5965791402284222,0.46104177412152564
XY,0.3823098468966616,0.1678934191804648,0.24644391271235602,0.1621846358631098
XZ,0.27084824939346047,0.16884636996625715,0.24806758225905853,0.1864680689299501
YX,0.3823098599905867,0.21962682773838385,0.28896750795220333,0.17191390948363858
YY,0.7403596034468313,0.622529951361094,0.21591264416261455,0.30644267825739346
YZ,0.21727715187049687,0.4317316275887852,0.21653752883736324,0.22700399259271617
ZX,0.27064918965825013,0.16583629076054804,0.4997993886713486,0.21994482510989308
ZY,0.21702996974043903,0.5974502647404977,0.25774867328883666,0.23917690873791436
ZZ,0.999999268134128,0.06626161423598116,0.042524501109292054,0.1183266730561064
