Error,Default,Variational,Toggling,Universal
X₁,0.6459934884138838,0.3654085219877947,0.8275697518285982,0.27468664878250854
Y₁,0.6568460342418689,0.2520846967186492,0.21262427641365358,0.3707137858524392
Z₁,0.7606611141155704,0.015285375227995961,0.0812224891277658,0.18124790074407202
X₂,0.6479435264041555,0.4239917265344253,0.509290250317806,0.2704967738941117
Y₂,0.6598436322714025,0.2740004213065432,0.39414774986687745,0.16730757123026163
Z₂,0.7606938162579524,0.014906580496141058,0.08263969046863232,0.28565774197618926
XX,0.7128668338146343,0.45339364537030097,0.5564154674669186,0.4791239079074025
XY,0.446810221923219,0.20417271964612763,0.3649672450156865,0.21195722958015722
XZ,0.6567838481630498,0.2046082908895491,0.2224140860355456,0.20501085957268714
YX,0.4467576500752643,0.21404128535381134,0.332174509844408,0.30840500386590686
YY,0.7129729442239267,0.4324328979075767,0.40239517989138013,0.2132551396582971
YZ,0.6459863568115461,0.4709444456370084,0.22278888900641658,0.237480304571746
ZX,0.6597225241296912,0.20775367951951615,0.336252825315365,0.33893191840906906
ZY,0.6478615815329484,0.4945838004911167,0.37429618370414647,0.2911163551429432
ZZ,1.0097159705057803,0.021801035795326308,0.04773205907535814,0.29418622982306886
