Error,Default,Variational,Toggling,Universal
X₁,0.6496084185334119,0.756844435838055,0.5678276896505291,0.30686868230492903
Y₁,0.478127933427821,0.5089772326778196,0.30024669717408586,0.27009769568805525
Z₁,0.5911495287250866,0.33190281773175606,0.5105125609361462,0.38214264780876334
X₂,0.5687640781126115,0.7972721320009238,0.7078544472061571,0.3166254819163769
Y₂,0.4261059477286293,0.5354411982956756,0.21864232301474706,0.32114950230826267
Z₂,0.571026783391395,0.7613730340616717,0.30983682656018313,0.2838832750311365
XX,0.6788742510930558,0.7501984750006527,0.4594466695244607,0.5693321713124757
XY,0.4909865313026146,0.4366085099930701,0.29648778168972495,0.2527204515271495
XZ,0.4038456548284495,0.5072968177163681,0.39025101585611893,0.27469633926168874
YX,0.5107683074336291,0.5977535002169149,0.3693254872664194,0.24375436351980598
YY,0.723478679288427,0.5157295859214859,0.3654892803362472,0.4032233486872446
YZ,0.5862354367259757,0.36399126136300197,0.2900741338551172,0.3424370031666053
ZX,0.4060668371812182,0.4646478054427515,0.5244315960490716,0.32884295816928283
ZY,0.582979183052864,0.30234684730421474,0.3002068821419008,0.4210169257238197
ZZ,0.7051943521249763,0.08331007164694704,0.008077134330007528,0.4170372107498375
