epsilon,fidelity
-0.02,1.6242406830407377
-0.0196,1.6270496081640942
-0.0192,1.629914231674495
-0.0188,1.6328274561817095
-0.0184,1.6357809821795328
-0.018,1.6387653074533013
-0.0176,1.641769738112943
-0.0172,1.6447824520537384
-0.0168,1.6477905178598349
-0.0164,1.6507799136678925
-0.016,1.6537356253493554
-0.0156,1.6566416446343424
-0.0152,1.659481046925057
-0.0148,1.6622360586520384
-0.0144,1.664888099305163
-0.014,1.6674178726283664
-0.0136,1.6698054020385917
-0.0132,1.6720301515118332
-0.0128,1.6740710507802814
-0.0124,1.675906619420974
-0.012,1.6775149987047602
-0.0116,1.6788741036660844
-0.0112,1.6799616269465123
-0.0108,1.6807551798750862
-0.0104,1.6812323604657102
-0.01,1.6813708397039355
-0.0096,1.6811484513640476
-0.0092,1.6805432679004075
-0.0088,1.679533699434948
-0.0084,1.6780985708294243
-0.008,1.6762172147869643
-0.0076,1.6738695272458721
-0.0072,1.6710360852243815
-0.0068,1.667698191992766
-0.0064,1.6638379591880548
-0.006,1.6594384001305367
-0.0056,1.6544834679283622
-0.0052,1.6489581366335528
-0.0048,1.6428484603631024
-0.0044,1.6361416378038078
-0.004,1.6288260560244303
-0.0036,1.6208913339740432
-0.0032,1.6123284017376407
-0.0028,1.6031294936419829
-0.0024,1.5932882174405893
-0.002,1.5827995857176802
-0.0016,1.5716600136057841
-0.0012,1.5598673740424231
-0.0008,1.5474210048516384
-0.0004,1.5343216960335109
0.0,1.520571739955583
0.0004,1.506174899774495
0.0008,1.4911364149594517
0.0012,1.4754630021482482
0.0016,1.4591628296645314
0.002,1.4422455235451406
0.0024,1.4247221037924493
0.0028,1.4066050150279852
0.0032,1.387908033832527
0.0036,1.3686462931499759
0.004,1.3488362018556732
0.0044,1.3284954219964789
0.0048,1.307642814747837
0.0052,1.2862984111651063
0.0056,1.2644833101943966
0.006,1.2422196890658894
0.0064,1.2195307057058682
0.0068,1.1964404261820012
0.0072,1.1729738105974286
0.0076,1.1491565887249715
0.008,1.1250152465806154
0.0084,1.100576917321911
0.0088,1.0758693350658415
0.0092,1.0509207489747605
0.0096,1.0257598720473216
0.01,1.0004157818097816
0.0104,0.9749178718387822
0.0108,0.9492957570093321
0.0112,0.9235792247953218
0.0116,0.89779813258972
0.012,0.8719823558887649
0.0124,0.8461617278768647
0.0128,0.8203659297272965
0.0132,0.7946244536132672
0.0136,0.7689665442955163
0.014,0.7434210767979985
0.0144,0.7180165407734318
0.0148,0.6927809829800081
0.0152,0.6677419016282212
0.0156,0.6429262136231965
0.016,0.6183602086483606
0.0164,0.5940694792399411
0.0168,0.5700788477465991
0.0172,0.5464123714234087
0.0176,0.5230932410555191
0.018,0.5001437604509752
0.0184,0.4775853101186991
0.0188,0.455438300144815
0.0192,0.43372214187151176
0.0196,0.4124552017226517
0.02,0.391654794624986
