This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    51902
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      827
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      718
                     variables with only upper bounds:        0
Total number of equality constraints.................:      646
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  8.2088502e+01 1.07e+00 1.44e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.1450837e+01 9.77e-01 2.19e+01   0.1 3.67e+00    -  2.81e-01 9.71e-02f  1
   2  8.3707236e+01 1.04e+00 5.66e+01   2.1 5.91e+01    -  2.23e-02 7.94e-03f  1
   3  5.2118071e+01 7.08e-01 1.15e+02   0.6 9.79e-01    -  4.95e-01 1.00e+00f  1
   4  3.4098935e+01 5.52e-01 1.40e+02   0.5 1.02e+00    -  8.26e-01 4.70e-01f  1
   5  7.7963628e+01 5.14e-01 6.00e+02   2.5 2.02e+01    -  1.63e-01 2.24e-02f  2
   6  1.0111894e+02 8.29e-01 2.71e+03   1.6 9.48e-01    -  8.97e-01 1.00e+00h  1
   7  1.0217751e+02 3.47e-01 2.18e+03   1.6 1.79e+00    -  9.24e-01 1.00e+00h  1
   8  1.0237048e+02 2.50e-01 2.59e+03   1.7 1.96e+00    -  8.49e-01 5.00e-01f  2
   9  1.0238630e+02 2.38e-01 2.55e+03   1.5 6.56e-01    -  9.87e-01 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0198451e+02 2.57e-01 2.45e+03   1.3 8.10e-01    -  9.93e-01 5.00e-01h  2
  11  1.0176775e+02 2.36e-01 2.15e+03   1.2 6.56e-01    -  9.92e-01 4.77e-01h  2
  12  1.0091694e+02 2.36e-01 1.79e+03   1.0 7.95e-01    -  9.94e-01 5.00e-01h  2
  13  9.7494728e+01 1.55e-01 1.68e+03   1.0 5.72e-01    -  9.57e-01 5.00e-01h  2
  14  7.5223139e+01 2.13e-01 2.77e+02   0.5 3.47e-01    -  1.00e+00 1.00e+00h  1
  15  1.8554620e+01 1.49e-01 3.46e+01   0.3 5.67e-01    -  9.96e-01 1.00e+00f  1
  16  7.0994028e+00 9.13e-02 1.84e+01  -0.0 3.24e-01    -  9.74e-01 5.30e-01f  1
  17  5.1312505e+00 1.26e-02 5.11e+00  -0.6 1.73e-01    -  9.93e-01 9.28e-01f  1
  18  3.8060442e+00 1.25e-02 1.23e+00  -1.5 1.69e-01    -  9.93e-01 1.00e+00f  1
  19  2.3726119e+00 5.24e-01 1.99e+01  -1.6 1.03e+00    -  9.64e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.8202152e+00 4.97e-01 1.81e+00  -1.4 9.81e-01    -  7.32e-01 1.00e+00h  1
  21  3.5436919e+00 1.45e-01 9.99e+01  -1.7 4.73e-01    -  9.90e-01 1.00e+00h  1
  22  2.3279721e+00 5.01e-02 1.75e+01  -1.8 2.77e-01    -  1.00e+00 1.00e+00h  1
  23  2.1164578e+00 1.21e-02 8.93e+00  -2.3 9.94e-02    -  1.00e+00 1.00e+00h  1
  24  1.7602271e+00 3.54e-02 7.39e+00  -2.5 2.36e-01    -  1.00e+00 1.00e+00h  1
