This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   466444
Number of nonzeros in inequality constraint Jacobian.:       32
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1539
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      378
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1458
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  4.8972080e-02 7.45e+00 4.68e-03   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  4.8986537e-02 7.39e+00 7.25e+01  -0.0 1.22e+01    -  2.55e-01 8.36e-03h  1
   2  2.9961371e-01 5.68e+00 9.14e+01  -0.0 3.00e+01    -  4.15e-01 2.22e-01f  1
   3  1.6908821e+00 8.44e+00 1.18e+02  -0.0 2.00e+01    -  4.10e-01 5.57e-01f  1
   4  2.9524134e+00 5.74e+00 1.37e+02  -0.1 2.23e+01    -  5.37e-01 4.15e-01h  1
   5  2.9509742e+00 5.55e+00 1.73e+03   0.5 9.26e+00    -  1.00e+00 3.31e-02h  1
   6  4.4034939e+00 8.31e+00 4.10e+02   0.4 2.08e+01    -  7.68e-01 7.16e-01h  1
   7  5.5778304e+00 5.34e+00 5.19e+02   0.3 2.14e+01    -  9.97e-01 4.51e-01h  1
   8  6.1027604e+00 4.48e+00 4.97e+02   0.3 2.72e+01    -  9.59e-01 3.98e-01h  1
   9  5.7552852e+00 2.34e+00 4.93e+02  -0.0 7.62e+00    -  1.00e+00 5.20e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.5713702e+00 1.81e+00 1.38e+03  -0.2 1.39e+01    -  1.00e+00 4.69e-01h  1
  11  5.2164556e+00 1.12e+00 2.71e+03  -0.4 1.01e+01    -  1.00e+00 5.40e-01h  1
  12  5.1539056e+00 7.91e-01 2.68e+04  -0.0 5.38e+00    -  1.00e+00 2.81e-01h  1
  13  5.0646048e+00 6.51e-01 6.40e+04  -0.2 9.08e+00    -  1.00e+00 2.62e-01h  2
  14  5.0534514e+00 2.73e+00 1.93e+04   0.1 1.18e+01    -  1.00e+00 4.87e-01f  2
  15  5.7939492e+00 1.25e+01 4.34e+03   0.4 1.37e+01    -  1.00e+00 1.00e+00f  1
  16  5.3673825e+00 6.17e+00 2.00e+04   0.3 6.92e+00    -  7.49e-01 1.00e+00f  1
  17  4.6239358e+00 2.49e+00 3.74e+02   0.3 6.48e+00    -  1.00e+00 1.00e+00f  1
  18  4.4930665e+00 1.04e+00 7.48e+03  -0.4 3.68e+00    -  1.00e+00 6.07e-01h  1
  19  4.3590600e+00 2.31e-01 3.25e+02  -0.7 2.56e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.2789272e+00 7.19e-02 8.46e+01  -1.6 9.51e-01    -  1.00e+00 1.00e+00h  1
  21  4.1732419e+00 1.52e-02 1.44e+01  -2.9 6.49e-01    -  1.00e+00 1.00e+00h  1
  22  3.6575076e+00 2.98e-01 2.97e+01  -3.3 1.95e+00    -  1.00e+00 1.00e+00h  1
  23  3.4048093e+00 2.21e-01 2.18e+01  -3.0 1.82e+00    -  1.00e+00 5.41e-01h  1
  24  2.2770103e+00 3.23e+00 9.72e+02  -1.6 3.11e+02    -  1.00e+00 1.95e-02f  1
  25  1.4100823e+00 2.87e+00 1.00e+02  -1.6 7.67e+00    -  1.00e+00 9.22e-01h  1
  26  1.1584703e+00 2.34e+00 5.62e+00  -1.9 8.61e+00    -  1.00e+00 1.00e+00h  1
  27  8.2202497e-01 8.44e-01 3.72e+00  -2.2 7.15e+00    -  1.00e+00 1.00e+00h  1
  28  7.5391383e-01 1.01e+00 2.55e+01  -1.7 4.13e+00    -  1.00e+00 9.42e-01h  1
  29  5.9338717e-01 6.03e-01 2.28e+00  -2.1 3.07e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  4.6968781e-01 4.46e-01 2.19e+00  -2.2 3.45e+00    -  1.00e+00 1.00e+00h  1
  31  3.7487497e-01 1.91e+00 5.32e+00  -2.3 3.79e+00    -  1.00e+00 9.94e-01h  1
  32  2.7028413e-01 4.08e-01 2.66e+00  -2.7 2.69e+00    -  9.99e-01 1.00e+00h  1
  33  3.3129922e-01 9.65e-01 8.99e+02  -1.5 8.77e+00    -  9.67e-01 3.23e-01h  1
  34  4.0791127e-01 9.14e-01 4.46e+00  -1.6 3.27e+00    -  1.00e+00 1.00e+00h  1
  35  3.7629531e-01 3.58e-01 3.57e+00  -1.6 2.62e+00    -  1.00e+00 1.00e+00h  1
  36  3.0425943e-01 2.26e-01 1.20e+00  -2.2 1.57e+00    -  9.99e-01 1.00e+00h  1
  37  2.3843808e-01 3.66e-01 2.78e+00  -2.8 1.81e+00    -  1.00e+00 1.00e+00h  1
  38  2.7225725e-01 5.33e-01 1.35e+01  -2.0 2.92e+00    -  9.65e-01 1.00e+00h  1
  39  2.3800755e-01 2.25e-01 1.69e+00  -2.1 1.93e+00    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.7634259e-01 2.76e-01 2.09e+00  -2.7 2.29e+00    -  1.00e+00 1.00e+00h  1
  41  1.5181225e-01 1.74e-01 7.36e-01  -3.0 1.42e+00    -  1.00e+00 1.00e+00h  1
  42  1.3107821e-01 2.97e-01 1.93e+00  -3.4 1.47e+00    -  1.00e+00 1.00e+00h  1
  43  1.3237023e-01 4.20e-01 1.49e+00  -2.7 2.34e+00    -  1.00e+00 1.00e+00h  1
  44  9.9458561e-02 1.96e-01 1.17e+00  -2.8 1.96e+00    -  1.00e+00 1.00e+00h  1
  45  8.7282562e-02 7.43e-02 8.68e-01  -3.2 1.01e+00    -  1.00e+00 1.00e+00h  1
  46  7.3619554e-02 1.17e-01 1.49e+00  -3.9 9.56e-01    -  1.00e+00 1.00e+00h  1
  47  6.7273755e-02 2.06e-01 4.61e+00  -3.2 1.97e+00    -  1.00e+00 7.94e-01h  1
  48  6.8529783e-02 1.90e-01 9.22e-01  -3.3 1.37e+00    -  1.00e+00 1.00e+00h  1
