This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    60367
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      837
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      718
                     variables with only upper bounds:        0
Total number of equality constraints.................:      741
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  8.1821563e+01 3.00e-01 1.10e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  7.0335914e+01 2.79e-01 1.51e+01  -0.5 2.97e+00    -  2.67e-01 7.32e-02f  1
   2  6.2741273e+01 2.58e-01 7.16e+01  -0.3 1.48e+00    -  5.96e-01 7.94e-02f  1
   3  1.8538356e+01 2.11e-01 8.20e+01  -0.4 1.11e+00    -  9.81e-01 5.01e-01f  1
   4  1.6421507e+00 1.53e-01 7.18e+01  -1.3 7.31e-01    -  4.07e-01 3.09e-01f  1
   5  6.4827445e+00 1.33e-01 1.00e+02   0.1 1.15e+00    -  8.81e-01 2.25e-01f  1
   6  2.9379687e+00 5.43e-02 7.59e+01  -0.3 4.46e-01    -  7.60e-01 5.97e-01f  1
   7  5.2469008e+00 2.85e-02 2.90e+01  -0.2 2.84e-01    -  9.66e-01 1.00e+00f  1
   8  5.7799634e-01 1.81e-02 2.74e+01  -0.7 2.03e-01    -  9.99e-01 9.43e-01f  1
   9  7.1048032e-01 9.70e-03 1.95e+01  -1.0 1.48e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.9117624e-01 4.33e-03 1.77e+01  -1.4 1.03e-01    -  9.98e-01 1.00e+00h  1
  11  5.5076952e-02 2.38e-03 4.37e+00  -1.8 6.00e-02    -  1.00e+00 9.42e-01h  1
  12  1.2199238e-02 9.89e-04 1.29e+00  -2.9 4.57e-02    -  1.00e+00 9.81e-01h  1
  13  1.3577219e-02 3.07e-04 3.55e-01  -2.9 2.50e-02    -  9.99e-01 1.00e+00h  1
  14  9.1881585e-03 3.88e-04 3.92e-01  -3.6 2.52e-02    -  1.00e+00 1.00e+00h  1
  15  8.3756543e-03 2.52e-04 2.55e-01  -4.0 1.54e-02    -  1.00e+00 1.00e+00h  1
  16  8.1238280e-03 2.22e-04 8.73e-02  -4.0 1.37e-02    -  1.00e+00 1.00e+00h  1
  17  7.4385243e-03 4.73e-03 1.10e-01  -4.0 5.52e-02    -  1.00e+00 1.00e+00h  1
  18  7.5722321e-03 1.48e-03 2.29e-01  -4.0 7.12e-02    -  1.00e+00 1.00e+00H  1
  19  7.1075069e-03 9.21e-04 2.15e-01  -4.0 1.19e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.6959075e-03 7.52e-04 7.00e-02  -4.0 1.64e-02    -  1.00e+00 1.00e+00h  1
  21  6.4898716e-03 6.58e-04 4.86e-02  -4.0 1.78e-02    -  1.00e+00 1.00e+00h  1
  22  6.1505858e-03 2.23e-03 1.21e-01  -4.0 4.06e-02    -  1.00e+00 1.00e+00h  1
  23  5.7746083e-03 3.92e-03 1.77e-01  -4.0 5.95e-02    -  1.00e+00 1.00e+00h  1
  24  5.4478336e-03 1.99e-03 1.35e-01  -4.0 4.92e-02    -  1.00e+00 1.00e+00h  1
  25  5.5293581e-03 6.75e-04 2.43e-02  -4.0 3.19e-02    -  1.00e+00 1.00e+00h  1
  26  5.5961511e-03 2.48e-04 2.18e-02  -4.0 2.15e-02    -  1.00e+00 1.00e+00h  1
  27  5.5986127e-03 1.83e-04 4.50e-02  -4.0 1.70e-02    -  1.00e+00 1.00e+00h  1
  28  5.5631148e-03 9.81e-05 4.56e-02  -4.0 1.32e-02    -  1.00e+00 1.00e+00h  1
