This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    23692
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      387
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      338
                     variables with only upper bounds:        0
Total number of equality constraints.................:      306
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  8.2857058e+01 1.74e+00 1.17e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  8.1934920e+01 1.66e+00 6.15e+01   0.4 3.29e+00    -  4.79e-01 4.36e-02f  1
   2  3.0530242e+01 1.32e+00 9.33e+02   0.3 1.52e+00    -  1.42e-01 6.55e-01f  1
   3  1.2691090e+01 1.01e+00 7.59e+02   0.3 1.54e+00    -  3.93e-01 2.27e-01f  1
   4  1.7632089e+00 7.11e-01 6.05e+02   0.3 1.15e+00    -  9.86e-01 2.86e-01f  1
   5  1.6451676e+01 5.25e-01 1.20e+03   0.9 1.56e+00    -  9.37e-01 4.08e-01f  1
   6  6.1198208e+01 4.23e-01 1.24e+03   1.3 1.04e+00    -  9.88e-01 5.00e-01f  2
   7  9.2750586e+01 4.50e-01 2.10e+03   1.1 7.23e-01    -  9.70e-01 1.00e+00h  1
   8  9.4907940e+01 3.05e-01 2.79e+03   1.4 1.01e+00    -  1.00e+00 5.00e-01f  2
   9  9.2678629e+01 3.75e-01 2.09e+03   1.0 5.24e-01    -  9.99e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  8.7911851e+01 7.80e-02 3.42e+02   0.6 4.39e-01    -  9.98e-01 1.00e+00h  1
  11  6.6240658e+01 2.01e-01 1.08e+02   0.4 4.28e-01    -  9.92e-01 1.00e+00f  1
  12  1.2286557e+01 3.41e-01 1.31e+02   0.4 9.25e-01    -  9.47e-01 7.32e-01f  1
  13  9.7155940e+00 1.19e-01 6.55e+01   0.3 3.27e-01    -  9.89e-01 6.90e-01f  1
  14  6.3511010e+00 2.89e-02 3.01e+01  -0.2 2.35e-01    -  9.97e-01 1.00e+00f  1
  15  1.8610437e+00 1.45e-02 7.27e+00  -1.0 1.43e-01    -  1.00e+00 8.27e-01f  1
  16  1.5432497e+00 5.73e-03 5.54e+00  -1.8 6.91e-02    -  9.98e-01 9.74e-01h  1
  17  1.4194459e+00 5.61e-02 1.34e+00  -2.3 9.89e-02    -  1.00e+00 1.00e+00h  1
  18  1.2629908e+00 7.17e-01 2.50e+01  -2.4 6.44e-01    -  1.00e+00 7.15e-01h  1
  19  1.3895383e+00 4.47e-01 4.24e+00  -1.9 4.98e-01    -  1.00e+00 9.02e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.6988685e+00 2.69e-01 9.99e+01  -1.6 5.81e-01    -  5.85e-01 5.55e-01H  1
  21  2.7661480e+00 1.93e-01 5.11e+01  -1.8 3.25e-01    -  4.89e-01 1.00e+00h  1
  22  1.4683260e+01 2.15e-02 5.28e+01  -1.8 2.12e-01    -  1.12e-02 1.00e+00h  1
  23  9.3452142e+00 6.89e-03 3.87e+01  -1.8 7.99e-02    -  1.00e+00 1.00e+00f  1
  24  2.6386465e+00 1.31e-02 3.59e+01  -1.2 1.22e+00    -  1.00e+00 5.99e-02f  1
  25  1.5583907e+00 1.10e-02 3.26e+01  -1.3 2.77e-01    -  1.00e+00 1.63e-01f  1
  26  1.5496247e+00 9.64e-03 1.92e+01  -1.3 5.07e-02    -  1.00e+00 1.00e+00f  1
  27  1.2946073e+00 1.88e-03 2.65e+00  -2.2 2.49e-02    -  1.00e+00 1.00e+00h  1
  28  1.2517808e+00 6.40e-03 1.12e+00  -2.7 4.48e-02    -  1.00e+00 1.00e+00h  1
  29  1.0930220e+00 1.79e-01 1.51e+00  -2.1 9.34e-01    -  1.00e+00 3.95e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.0109983e+00 2.63e-01 1.24e+00  -2.2 8.18e-01    -  9.99e-01 1.00e+00h  1
  31  9.5398799e-01 5.29e-01 2.78e+00  -2.2 4.73e-01    -  9.19e-01 8.32e-01H  1
  32  2.5813750e+00 1.32e-01 1.00e+02  -2.4 4.08e-01    -  1.00e+00 1.00e+00h  1
  33  9.3098599e-01 1.22e-01 1.47e+01  -2.5 3.11e-01    -  9.00e-01 1.00e+00f  1
  34  9.1456130e-01 2.09e-02 5.43e+00  -2.9 1.01e-01    -  1.00e+00 1.00e+00h  1
  35  9.2919578e-01 2.23e-02 5.58e+00  -2.6 1.39e-01    -  1.00e+00 1.00e+00h  1
  36  9.0733298e-01 1.31e-02 2.25e+00  -2.6 6.76e-02    -  1.00e+00 1.00e+00h  1
  37  8.4440732e-01 4.56e-02 1.33e+00  -2.8 2.01e-01    -  1.00e+00 1.00e+00h  1
  38  8.0195361e-01 1.69e-01 1.44e+00  -2.4 7.19e-01    -  1.00e+00 4.10e-01h  2
  39  7.9831523e-01 1.23e-01 1.00e+02  -2.9 2.45e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  7.3956144e-01 1.58e-01 2.22e+01  -2.7 3.08e-01    -  1.00e+00 1.00e+00h  1
  41  7.2023031e-01 7.78e-02 8.69e-01  -2.7 1.30e-01    -  1.00e+00 1.00e+00h  1
  42  6.9939484e-01 1.75e-01 4.73e+00  -2.4 2.84e-01    -  1.00e+00 1.00e+00h  1
  43  6.4583823e-01 1.80e-01 4.95e+00  -2.7 6.93e-01    -  1.00e+00 1.00e+00h  1
  44  6.2781468e-01 4.05e-01 1.14e+02  -2.5 1.76e+00    -  1.00e+00 7.30e-01H  1
  45  6.0672561e-01 6.59e-01 2.13e+01  -2.2 1.40e+00    -  1.00e+00 5.00e-01h  2
  46  6.3331303e-01 2.39e-01 9.86e+01  -2.3 3.35e-01    -  1.00e+00 1.00e+00h  1
  47  5.5854919e-01 1.27e-01 7.35e+01  -2.6 3.67e-01    -  1.00e+00 1.00e+00h  1
  48  5.6901272e-01 1.14e-01 4.45e+01  -2.4 5.01e-01    -  1.00e+00 5.00e-01h  2
  49  5.2519827e-01 6.69e-02 3.92e+01  -2.8 3.91e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  4.6990289e-01 3.07e-01 1.35e+01  -2.5 1.48e+00    -  1.00e+00 7.16e-01H  1
  51  4.6605234e-01 1.11e-01 7.44e+01  -2.7 4.43e-01    -  1.00e+00 1.00e+00h  1
  52  4.3814240e-01 9.50e-02 2.87e+01  -2.8 2.16e-01    -  1.00e+00 1.00e+00h  1
  53  4.0997937e-01 6.83e-02 7.09e+01  -3.0 4.74e-01    -  1.00e+00 1.00e+00h  1
  54  3.8018533e-01 3.47e-01 4.78e+01  -2.4 1.42e+00    -  1.00e+00 6.27e-01h  1
  55  1.0370537e+00 4.23e-01 2.02e+02  -1.3 4.21e+00    -  1.00e+00 1.10e-01f  1
  56  4.3776901e-01 1.52e-01 1.64e+02  -1.4 4.18e-01    -  9.87e-01 1.00e+00h  1
  57  4.4841769e-01 7.62e-02 5.78e+01  -1.4 2.97e-01    -  1.00e+00 1.00e+00h  1
  58  4.4736650e-01 2.76e-02 7.13e+01  -1.4 1.40e-01    -  1.00e+00 1.00e+00h  1
  59  4.2842582e-01 4.83e-03 9.55e+00  -2.4 5.68e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  4.0241229e-01 3.00e-02 3.59e+01  -3.1 6.31e-02    -  1.00e+00 1.00e+00h  1
  61  3.5356315e-01 1.38e-01 1.99e+01  -2.9 2.60e-01    -  1.00e+00 6.11e-01h  1
  62  3.4175735e-01 6.93e-02 3.54e-01  -3.1 1.54e-01    -  1.00e+00 1.00e+00h  1
  63  3.0915099e-01 1.48e-01 6.89e-01  -3.2 4.76e-01    -  1.00e+00 9.92e-01h  1
  64  3.0927779e-01 1.81e-01 5.82e-01  -2.7 4.97e-01    -  1.00e+00 4.84e-01h  2
  65  3.0104385e-01 1.34e-01 1.00e+02  -3.0 2.20e-01    -  1.00e+00 1.00e+00h  1
  66  2.9262807e-01 7.62e-02 3.94e+01  -3.2 1.96e-01    -  1.00e+00 1.00e+00h  1
  67  2.9854065e-01 2.37e-02 4.59e+00  -2.9 1.44e-01    -  1.00e+00 1.00e+00H  1
  68  2.8509843e-01 5.55e-02 2.45e+01  -3.1 6.67e-02    -  1.00e+00 1.00e+00h  1
  69  2.7467250e-01 2.21e-02 1.56e+01  -3.3 8.87e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  2.6529760e-01 9.20e-02 1.52e+00  -3.3 2.48e-01    -  1.00e+00 1.00e+00h  1
  71  2.5294101e-01 7.32e-02 3.80e+00  -3.0 4.52e-01    -  1.00e+00 4.49e-01h  2
  72  2.5898811e-01 8.04e-02 9.44e+01  -2.7 6.91e-01    -  1.00e+00 3.61e-01h  2
  73  2.5264839e-01 1.05e-01 2.71e+01  -2.8 2.01e-01    -  1.00e+00 1.00e+00h  1
