This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    37797
Number of nonzeros in inequality constraint Jacobian.:     5100
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      607
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      528
                     variables with only upper bounds:        0
Total number of equality constraints.................:      476
Total number of inequality constraints...............:      420
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      420

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  8.2399605e+01 1.64e+00 1.16e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  8.1023598e+01 1.62e+00 1.15e+01  -0.5 2.31e+00    -  7.78e-02 1.51e-02h  1
   2  8.2014199e+01 1.59e+00 1.62e+02   0.6 1.12e+01    -  9.74e-02 2.08e-02f  1
   3  8.7024808e+01 1.51e+00 3.63e+02   1.0 1.27e+01    -  1.18e-01 4.74e-02f  1
   4  8.4306034e+01 1.37e+00 2.48e+03   1.2 1.17e+01    -  4.95e-01 7.75e-02h  1
   5  9.0532042e+01 1.31e+00 1.37e+04   2.1 2.00e+01    -  3.02e-01 4.08e-02f  1
   6  8.8839743e+01 1.21e+00 1.73e+05   2.7 1.82e+01    -  7.46e-01 7.23e-02h  1
   7  8.2456789e+01 1.11e+00 3.47e+05   3.1 1.15e+01    -  2.44e-01 9.71e-02h  1
   8  8.0377735e+01 1.05e+00 4.22e+05   3.1 8.96e+00    -  9.82e-02 5.41e-02h  1
   9  7.7017593e+01 9.52e-01 4.42e+05   3.1 8.69e+00    -  1.20e-01 9.56e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  7.7030165e+01 8.76e-01 5.17e+05   3.1 7.03e+00    -  6.20e-02 7.35e-02h  1
  11  7.6631255e+01 8.53e-01 5.85e+05  -3.1 9.67e+00    -  7.78e-02 2.86e-02h  1
  12  7.4386612e+01 8.07e-01 8.11e+05   2.8 1.34e+01    -  9.17e-02 6.98e-02h  1
  13  7.4453373e+01 7.72e-01 1.01e+06   3.1 1.54e+01    -  5.22e-02 5.34e-02h  1
  14  7.6788947e+01 7.36e-01 1.21e+06   3.1 1.67e+01    -  4.23e-02 5.57e-02h  1
  15  7.7693200e+01 7.11e-01 1.31e+06   3.1 1.62e+01    -  5.56e-02 3.24e-02h  1
  16  7.7779205e+01 6.83e-01 1.41e+06   3.1 1.75e+01    -  5.92e-02 3.82e-02h  1
  17  7.5936032e+01 6.33e-01 1.85e+06   3.1 2.00e+01    -  4.55e-02 7.56e-02h  1
  18  7.2445462e+01 6.03e-01 2.19e+06   2.6 1.19e+01    -  6.60e-02 5.62e-02h  1
  19  6.9857532e+01 5.84e-01 2.37e+06   2.5 1.47e+01    -  7.00e-02 3.28e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  6.4985111e+01 5.49e-01 2.71e+06   3.1 1.21e+01    -  8.58e-02 6.72e-02f  1
  21  6.3961155e+01 5.31e-01 2.83e+06   3.1 1.18e+01    -  2.34e-02 3.40e-02f  1
  22  6.4329874e+01 5.08e-01 2.95e+06   2.0 4.17e+00    -  3.19e-02 4.77e-02h  1
  23  6.4568699e+01 5.00e-01 3.00e+06   3.1 1.11e+01    -  1.77e-02 1.66e-02f  1
  24  6.5706010e+01 4.72e-01 3.20e+06   1.7 7.78e+00    -  3.49e-02 6.44e-02h  1
  25  6.7251450e+01 4.20e-01 3.65e+06   3.1 9.74e+00    -  1.78e-01 1.24e-01f  1
  26  6.8044177e+01 3.91e-01 3.73e+06   3.0 1.45e+00    -  9.21e-02 6.86e-02f  1
  27  7.0028574e+01 3.37e-01 3.77e+06   2.4 1.85e+00    -  5.34e-02 1.33e-01h  1
  28  7.5257242e+01 2.54e-01 2.51e+06   3.1 2.90e+00    -  1.18e-01 4.61e-01f  1
  29  7.2056027e+01 2.10e-01 2.13e+06   3.1 1.10e+00    -  9.54e-02 1.84e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  6.8730611e+01 1.52e-01 1.40e+06   3.1 2.19e+00    -  1.63e-01 3.93e-01f  1
  31  7.7723277e+01 9.38e-02 9.17e+05   3.1 1.87e+00    -  3.57e-01 4.86e-01f  1
  32  9.3487047e+01 4.92e-02 4.01e+05   2.9 4.08e-01    -  6.88e-01 1.00e+00f  1
  33  9.4898404e+01 2.60e-03 3.59e+04   2.1 2.13e-01    -  9.21e-01 1.00e+00f  1
  34  9.4796682e+01 1.12e-05 4.94e+02   0.2 4.46e-03    -  9.84e-01 1.00e+00f  1
  35  8.8819850e+01 8.62e-03 2.25e+01  -0.4 1.41e-01    -  9.43e-01 1.00e+00f  1
  36  3.3107328e+01 1.54e-01 7.88e+01  -0.7 1.07e+00    -  7.03e-01 6.32e-01f  1
  37  1.1599195e+01 1.25e-01 8.42e+01  -0.0 1.38e+00    -  6.73e-01 2.80e-01f  1
  38  4.1293748e+00 5.51e-02 5.91e+01  -0.1 4.83e-01    -  9.74e-01 6.17e-01f  1
  39  6.5702344e+00 4.02e-02 7.29e+01  -0.1 2.61e-01    -  9.75e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.2556703e+00 1.73e-02 7.56e+01  -0.5 2.35e-01    -  9.93e-01 7.78e-01f  1
  41  8.5076723e-01 1.83e-02 3.98e+01  -0.7 1.94e-01    -  9.95e-01 9.24e-01f  1
  42  2.0131164e-01 6.39e-03 2.59e+01  -1.3 1.12e-01    -  1.00e+00 9.39e-01h  1
  43  1.8169706e-01 3.52e-03 7.05e+00  -1.5 6.92e-02    -  9.99e-01 1.00e+00f  1
  44  2.0979810e-02 1.12e-03 1.91e+00  -2.3 4.54e-02    -  1.00e+00 9.62e-01h  1
  45  1.6839908e-02 8.31e-04 5.16e-01  -3.0 3.45e-02    -  1.00e+00 1.00e+00h  1
  46  1.2404077e-02 1.10e-03 1.77e-01  -3.8 3.24e-02    -  1.00e+00 1.00e+00h  1
  47  1.0639424e-02 3.51e-03 1.62e-01  -4.0 3.31e-02    -  1.00e+00 1.00e+00h  1
  48  1.0406840e-02 1.08e-03 7.67e-02  -4.0 2.20e-02    -  1.00e+00 1.00e+00h  1
  49  1.0432128e-02 5.93e-04 8.12e-02  -4.0 1.93e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.0357669e-02 3.35e-04 6.23e-02  -4.0 1.56e-02    -  1.00e+00 1.00e+00h  1
  51  1.0209708e-02 1.77e-04 1.00e-01  -4.0 1.43e-02    -  1.00e+00 1.00e+00h  1
  52  1.0033946e-02 5.87e-04 1.64e-01  -4.0 2.58e-02    -  1.00e+00 1.00e+00h  1
