This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1016894
Number of nonzeros in inequality constraint Jacobian.:       12
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3259
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      808
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3078
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.7861033e-02 4.80e+00 1.54e-02   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.7849268e-02 4.75e+00 1.19e+02  -0.1 1.02e+01    -  3.26e-01 1.02e-02h  1
   2  2.0812143e-02 4.44e+00 3.00e+02   0.7 1.45e+01    -  2.20e-01 6.37e-02f  1
   3  2.6937993e-02 4.20e+00 7.75e+02   1.2 1.19e+01    -  3.47e-01 5.22e-02f  1
   4  3.7018499e-02 3.97e+00 1.78e+03   1.3 1.29e+01    -  3.21e-01 5.25e-02f  1
   5  9.8275764e-02 3.36e+00 7.88e+03   1.5 1.53e+01    -  9.63e-01 1.36e-01f  1
   6  2.7460691e-01 2.62e+00 8.51e+03   1.7 1.25e+01    -  5.09e-01 2.02e-01f  1
   7  5.8485406e-01 3.05e+00 1.92e+04   2.2 2.18e+01    -  7.31e-01 1.99e-01f  1
   8  1.4654238e+00 4.88e+00 3.00e+04   2.4 3.04e+01    -  4.32e-01 2.90e-01h  1
   9  3.4392358e+00 4.02e+00 4.06e+04   2.9 4.23e+01    -  7.42e-01 2.57e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.9083114e+00 1.03e+01 7.25e+04   2.9 3.30e+01    -  3.84e-01 3.69e-01H  1
  11  1.2813145e+01 1.22e+01 1.64e+05   2.9 3.06e+01    -  1.44e-01 5.44e-01H  1
  12  1.5343372e+01 9.32e+00 1.58e+05   2.9 2.72e+01    -  4.24e-01 2.71e-01h  1
  13  1.8159688e+01 7.64e+00 1.64e+05   2.9 5.09e+01    -  4.80e-01 2.72e-01f  2
  14  1.9350392e+01 6.14e+00 3.97e+05   2.9 4.18e+01    -  2.98e-01 2.81e-01H  1
  15  1.9053283e+01 5.14e+00 3.08e+05   2.9 2.11e+01    -  6.23e-01 1.75e-01h  1
  16  1.8492089e+01 3.92e+00 4.33e+05   2.9 1.88e+01    -  6.75e-01 2.63e-01h  1
  17  2.6033023e+01 1.36e+01 7.28e+05   2.9 2.83e+01    -  7.42e-01 1.00e+00f  1
