This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   796714
Number of nonzeros in inequality constraint Jacobian.:     9182
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2571
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      636
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2430
Total number of inequality constraints...............:      751
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      751

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  2.5718565e-02 6.15e+00 7.80e-03   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.5687472e-02 6.09e+00 4.61e+02  -0.0 9.27e+00    -  8.09e-01 9.70e-03h  1
   2  2.7199460e-02 5.95e+00 4.89e+02   0.9 1.90e+01    -  6.29e-02 2.39e-02h  1
   3  3.8223696e-02 5.75e+00 1.08e+03   1.1 2.49e+01    -  6.15e-02 3.30e-02h  1
   4  1.0491347e-01 5.51e+00 1.59e+03   1.6 4.48e+01    -  5.46e-02 4.15e-02f  1
   5  1.2537593e-01 5.44e+00 4.20e+03  -4.0 3.45e+01    -  4.45e-02 1.25e-02h  1
   6  4.4752765e-01 5.12e+00 1.29e+04   1.9 6.22e+01    -  1.80e-01 5.94e-02f  1
   7  1.0727307e+00 4.66e+00 1.89e+04   1.9 6.14e+01    -  1.78e-01 8.80e-02h  1
   8  1.5744368e+00 4.35e+00 2.14e+04  -0.6 4.68e+01    -  1.12e-01 6.85e-02h  1
   9  3.1905666e+00 3.79e+00 2.25e+04   2.1 5.29e+01    -  2.20e-01 1.27e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  5.9537907e+00 3.61e+00 4.29e+04   2.2 5.43e+01    -  3.10e-01 1.73e-01h  1
  11  7.8299042e+00 3.50e+00 5.49e+04   2.6 6.13e+01    -  3.31e-01 1.01e-01f  1
  12  1.3559172e+01 4.09e+00 9.41e+04   1.8 4.62e+01    -  3.50e-01 3.15e-01h  1
  13  1.7657202e+01 5.43e+00 1.50e+05   3.0 6.88e+01    -  2.19e-01 1.55e-01f  1
  14  2.2647799e+01 4.77e+00 2.37e+05   2.7 3.88e+01    -  5.49e-01 3.90e-01h  1
  15  2.7005024e+01 3.48e+00 2.23e+05   2.8 3.09e+01    -  5.98e-01 5.02e-01f  1
  16  2.9493559e+01 4.96e+00 1.76e+05   3.0 3.11e+01    -  3.15e-01 5.46e-01f  1
  17  2.7366592e+01 1.32e+00 1.25e+05   0.7 1.65e+01    -  3.91e-01 7.92e-01h  1
  18  2.6860514e+01 9.77e-01 1.68e+05   2.4 1.24e+01    -  7.92e-01 2.67e-01f  1
  19  3.1006553e+01 4.59e+00 1.32e+05   2.7 3.54e+01    -  5.01e-01 4.46e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  3.0247091e+01 2.31e+00 6.23e+04   2.5 1.46e+01    -  5.93e-01 6.53e-01f  1
  21  2.8782320e+01 4.53e-01 1.94e+04   1.8 9.18e+00    -  9.45e-01 9.36e-01f  1
  22  3.0229972e+01 1.56e+00 3.12e+04   1.7 1.12e+01    -  9.78e-01 1.00e+00f  1
  23  2.9881787e+01 4.94e-01 2.09e+04   1.6 7.11e+00    -  1.00e+00 1.00e+00f  1
  24  2.9439101e+01 1.37e-01 5.82e+03   1.0 3.78e+00    -  9.99e-01 1.00e+00h  1
  25  2.9135277e+01 5.03e-02 1.50e+03  -0.1 2.81e+00    -  1.00e+00 1.00e+00h  1
  26  2.9029640e+01 2.03e-02 4.78e+02  -1.2 1.07e+00    -  1.00e+00 1.00e+00h  1
  27  2.8715531e+01 9.90e-03 8.15e+01  -1.9 7.00e-01    -  1.00e+00 1.00e+00h  1
  28  2.5804127e+01 4.19e-01 3.09e+02  -2.1 7.34e+00    -  1.00e+00 9.36e-01f  1
  29  2.3602708e+01 2.52e-01 5.29e+01  -1.9 4.89e+00    -  1.00e+00 9.41e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.8545440e+01 1.71e+00 2.27e+03  -1.1 7.13e+01    -  7.56e-01 1.86e-01f  1
  31  2.0447955e+01 9.37e+00 1.54e+03  -0.7 6.56e+01    -  6.88e-01 6.00e-01f  1
  32  1.3411011e+01 2.27e+00 8.72e+01  -0.9 1.92e+01    -  1.00e+00 1.00e+00h  1
  33  1.1201606e+01 1.08e+00 2.73e+01  -1.0 9.43e+00    -  9.97e-01 1.00e+00h  1
  34  8.5381397e+00 1.70e+00 2.86e+01  -1.3 1.12e+01    -  9.99e-01 1.00e+00h  1
  35  6.8815264e+00 1.20e+00 2.65e+01  -1.3 1.09e+01    -  9.98e-01 1.00e+00h  1
  36  5.8010800e+00 5.62e-01 1.93e+01  -1.7 6.36e+00    -  1.00e+00 1.00e+00h  1
  37  5.1835863e+00 6.07e-01 3.92e+01  -1.8 7.37e+00    -  9.99e-01 7.71e-01h  1
  38  4.3710636e+00 1.23e+00 1.81e+01  -2.2 6.20e+00    -  9.99e-01 1.00e+00h  1
  39  4.5443774e+00 9.59e-01 3.31e+02  -1.7 6.84e+00    -  1.00e+00 5.00e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  4.8205549e+00 3.96e-01 9.21e+00  -1.7 4.52e+00    -  1.00e+00 1.00e+00h  1
  41  4.3290124e+00 1.96e-01 1.11e+01  -2.3 3.54e+00    -  1.00e+00 1.00e+00h  1
  42  3.9449764e+00 9.92e-01 2.99e+01  -2.1 5.38e+00    -  1.00e+00 1.00e+00h  1
  43  3.6823862e+00 3.72e-01 2.12e+01  -2.2 2.73e+00    -  1.00e+00 1.00e+00h  1
  44  3.9600681e+00 1.72e-01 2.13e+01  -1.9 2.24e+00    -  1.00e+00 9.25e-01h  1
