This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   133925
Number of nonzeros in inequality constraint Jacobian.:      492
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      499
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      104
                     variables with only upper bounds:        0
Total number of equality constraints.................:      486
Total number of inequality constraints...............:       73
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       73

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.6683925e-01 8.33e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.6675544e-01 8.28e+00 7.55e+00  -4.0 2.50e+01    -  5.25e-02 6.85e-03h  1
   2  1.6691395e-01 8.27e+00 1.16e+03   0.1 3.46e+01    -  8.65e-02 1.28e-03h  1
   3  1.6658475e-01 8.25e+00 5.15e+03   1.9 1.93e+02    -  3.30e-02 1.79e-03f  1
   4  1.6891512e-01 8.23e+00 3.18e+03   2.3 2.90e+02    -  1.65e-03 2.30e-03f  1
   5  1.8449156e-01 8.20e+00 3.88e+03   2.5 2.92e+02    -  2.24e-03 3.58e-03f  1
   6  1.8671823e-01 8.20e+00 1.06e+04   0.5 3.52e+02    -  3.07e-03 3.33e-04h  4
   7  1.9172491e-01 8.19e+00 2.13e+04   0.5 4.04e+02    -  3.21e-03 6.26e-04f  3
   8  2.0207821e-01 8.19e+00 3.30e+04   0.5 4.67e+02    -  3.22e-03 1.08e-03f  2
   9  2.0469740e-01 8.18e+00 4.46e+04   0.5 4.75e+02    -  2.62e-03 3.24e-04h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  2.1337212e-01 8.18e+00 5.47e+04   0.5 5.27e+02    -  2.76e-03 8.71e-04f  2
  11  2.3145606e-01 8.16e+00 6.03e+04   0.5 5.65e+02    -  2.65e-03 1.49e-03f  2
  12  2.6915101e-01 8.14e+00 6.42e+04   0.5 4.57e+02    -  4.15e-03 3.02e-03f  2
  13  2.9557843e-01 8.11e+00 6.35e+04   0.5 2.76e+02    -  2.69e-03 3.85e-03f  2
  14  3.1116644e-01 8.09e+00 6.48e+04   0.5 2.09e+02    -  1.30e-02 2.30e-03h  3
  15  3.3834486e-01 8.06e+00 6.58e+04   0.5 1.94e+02    -  1.84e-02 3.70e-03h  2
  16  3.5615523e-01 8.04e+00 6.70e+04   0.5 1.86e+02    -  3.18e-02 2.30e-03h  2
  17  3.9397447e-01 8.01e+00 7.44e+04   0.5 1.76e+02    -  8.95e-02 4.41e-03h  2
  18  4.1158372e-01 7.99e+00 7.82e+04   0.5 1.69e+02    -  6.90e-02 2.05e-03h  4
  19  4.2359187e-01 7.98e+00 8.39e+04   0.5 1.84e+02    -  8.00e-02 1.31e-03h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.5728485e-01 7.95e+00 9.69e+04   0.5 1.94e+02    -  4.96e-02 3.41e-03h  4
  21  6.3019113e-01 7.83e+00 1.05e+05   0.5 2.14e+02    -  4.18e-02 1.48e-02h  2
  22  7.0052369e-01 7.74e+00 1.71e+05   2.6 1.84e+02    -  7.61e-02 1.15e-02h  1
  23  7.4614680e-01 7.60e+00 5.07e+05   2.9 2.22e+02    -  1.04e-01 1.84e-02f  1
  24  7.3652627e-01 7.59e+00 4.54e+05   2.9 1.80e+02    -  3.82e-02 2.07e-03h  1
  25  6.9066963e-01 7.48e+00 4.28e+05   2.9 2.02e+02    -  2.24e-02 1.44e-02f  2
  26  6.5822149e-01 7.43e+00 4.09e+05   2.9 2.27e+02    -  1.58e-02 6.71e-03h  2
  27  6.6336523e-01 7.34e+00 4.02e+05   2.9 3.14e+02    -  1.46e-02 1.10e-02f  2
  28  6.0136621e-01 7.30e+00 5.48e+05   2.1 2.14e+02    -  5.47e-03 6.21e-03h  1
  29  5.6911801e-01 7.28e+00 6.83e+05   2.9 5.83e+02    -  5.73e-03 2.34e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  5.4883440e-01 7.26e+00 8.22e+05   1.3 2.58e+02    -  1.53e-02 3.17e-03h  1
  31  5.2692417e-01 7.21e+00 2.08e+06   2.9 3.66e+02    -  5.14e-04 6.65e-03h  1
  32  5.4584674e-01 7.13e+00 3.64e+06   2.9 3.21e+02    -  6.77e-03 1.06e-02f  1
  33  5.4141957e-01 7.13e+00 3.75e+06  -3.8 2.65e+02    -  1.12e-02 8.06e-04h  1
  34  5.4148102e-01 7.10e+00 4.30e+06   2.5 3.92e+02    -  1.81e-02 3.78e-03f  2
  35  5.3693548e-01 7.07e+00 4.80e+06   2.9 2.85e+02    -  2.79e-02 4.38e-03h  1
  36  4.8584702e-01 6.99e+00 5.67e+06   2.9 1.67e+02    -  2.91e-02 1.10e-02h  1
  37  3.9690136e-01 6.86e+00 6.82e+06   2.9 1.46e+02    -  2.70e-02 1.90e-02h  1
  38  3.6490128e-01 6.75e+00 7.72e+06   2.9 1.74e+02    -  3.27e-03 1.58e-02f  1
