This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:   566581
Number of nonzeros in inequality constraint Jacobian.:     2432
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1851
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      392
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1782
Total number of inequality constraints...............:      265
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      265

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  3.0191000e-02 6.22e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  3.0050875e-02 6.16e+00 5.22e+01  -0.4 1.28e+01    -  4.03e-01 1.04e-02h  1
   2  3.0065929e-02 6.15e+00 5.89e+02  -4.0 4.06e+01    -  1.44e-02 1.29e-03h  1
   3  3.4365701e-02 6.05e+00 4.22e+04   0.8 4.97e+01    -  1.00e+00 1.53e-02h  1
   4  9.3012163e-02 5.86e+00 4.13e+04   2.1 6.86e+01    -  3.41e-02 3.02e-02f  1
   5  4.1813453e-01 5.59e+00 4.16e+04   2.3 1.23e+02    -  7.29e-02 4.20e-02f  1
   6  8.4313873e-01 5.33e+00 4.04e+04   2.8 1.54e+02    -  5.28e-02 4.73e-02f  1
   7  1.4000195e+00 4.99e+00 4.10e+04   2.7 1.36e+02    -  2.95e-01 5.71e-02f  1
   8  3.1979178e+00 5.34e+00 1.41e+05   2.8 7.55e+01    -  4.85e-01 1.20e-01h  1
   9  4.9002061e+00 5.06e+00 1.54e+05   1.4 1.12e+02    -  1.95e-01 1.18e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.0922298e+01 5.82e+00 2.29e+05   2.8 1.27e+02    -  1.39e-01 1.59e-01H  1
  11  1.4023941e+01 5.66e+00 3.10e+05   2.8 6.76e+01    -  4.38e-01 1.97e-01h  1
  12  1.3706493e+01 5.26e+00 3.32e+05   2.1 4.40e+01    -  2.21e-01 7.22e-02h  1
  13  1.3356304e+01 4.69e+00 3.64e+05   2.4 4.40e+01    -  1.68e-01 1.09e-01h  1
  14  1.3260883e+01 4.70e+00 6.53e+05   2.6 6.31e+01    -  2.09e-01 2.35e-01h  1
  15  1.1819866e+01 4.09e+00 8.53e+05   2.8 4.94e+01    -  2.61e-01 1.54e-01h  1
  16  1.1684216e+01 3.99e+00 8.66e+05  -3.3 2.33e+01    -  2.93e-01 2.41e-02h  1
  17  1.0791482e+01 3.49e+00 1.40e+06   2.8 4.33e+01    -  3.43e-01 1.35e-01h  1
  18  1.2275941e+01 2.22e+00 2.08e+06   2.7 4.57e+01    -  2.56e-01 2.97e-01H  1
  19  1.1578736e+01 1.63e+00 2.12e+06   2.8 2.00e+01    -  6.51e-01 3.86e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.1317132e+01 1.39e+00 2.26e+06  -3.3 2.50e+01    -  1.58e-01 2.01e-01h  1
  21  1.1142781e+01 1.29e+00 2.32e+06   1.0 3.48e+01    -  9.92e-02 7.48e-02h  1
  22  1.1012442e+01 1.13e+00 2.68e+06   2.8 1.91e+01    -  3.95e-01 2.06e-01f  1
  23  1.1298393e+01 8.53e-01 2.66e+06   2.4 1.36e+01    -  5.20e-01 5.74e-01h  1
  24  1.1391151e+01 7.17e-01 2.64e+06  -3.4 1.36e+01    -  2.23e-01 1.91e-01h  1
  25  1.1497168e+01 7.00e-01 2.61e+06   2.4 2.39e+01    -  7.44e-02 8.28e-02h  1
  26  1.1565776e+01 6.41e-01 2.63e+06   2.8 1.59e+01    -  2.78e-01 9.69e-02f  1
  27  1.2137605e+01 2.04e+00 4.65e+06   2.8 3.27e+01    -  2.46e-01 2.96e-01f  1
  28  1.1894471e+01 1.25e+00 3.74e+06   2.6 6.02e+00    -  4.19e-01 3.75e-01h  1
  29  1.1520073e+01 4.33e-01 3.00e+06   2.6 4.78e+00    -  7.10e-01 7.23e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.1299937e+01 8.34e-01 4.65e+06   2.8 7.79e+00    -  3.51e-01 8.52e-01f  1
  31  1.1254209e+01 9.46e-01 9.49e+06   2.8 1.49e+01    -  4.55e-01 5.20e-01H  1
  32  1.0988250e+01 8.85e-01 7.40e+06   2.8 5.80e+00    -  5.56e-01 8.54e-01h  1
