This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:  1215565
Number of nonzeros in inequality constraint Jacobian.:     5312
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     3879
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      824
                     variables with only upper bounds:        0
Total number of equality constraints.................:     3726
Total number of inequality constraints...............:      553
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:      553

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0611428e-03 4.15e+00 1.00e+00   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.4969746e-03 4.12e+00 2.12e+01  -0.4 2.67e+01    -  9.29e-03 6.28e-03h  1
   2  1.5964891e-03 4.11e+00 9.54e+01   1.8 1.16e+02    -  2.32e-03 1.25e-03f  1
   3  3.6980780e-03 4.08e+00 1.04e+03   0.9 3.32e+01    -  1.64e-01 8.72e-03h  1
   4  3.7737424e-02 3.97e+00 6.51e+03   1.7 6.74e+01    -  1.93e-01 2.63e-02h  1
   5  3.0794383e-01 3.73e+00 1.70e+04   2.2 7.54e+01    -  3.05e-01 5.81e-02f  1
   6  2.4710539e+00 3.56e+00 4.02e+04   2.8 7.18e+01    -  3.70e-01 1.44e-01f  1
   7  9.2922101e+00 3.98e+00 1.43e+05   2.8 5.79e+01    -  7.10e-01 3.26e-01h  1
   8  1.9164512e+01 2.72e+00 2.46e+05   2.8 5.03e+01    -  2.96e-01 4.47e-01h  1
   9  2.9950021e+01 2.06e+00 2.90e+05   2.8 3.87e+01    -  9.95e-01 4.70e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.4453912e+01 1.37e+00 2.14e+05   2.2 2.94e+01    -  5.09e-01 3.50e-01h  1
  11  3.5092718e+01 9.92e-01 1.65e+05   2.6 2.05e+01    -  9.98e-01 2.96e-01h  1
  12  3.5027959e+01 1.39e+00 1.82e+05   2.7 2.59e+01    -  7.54e-01 5.18e-01h  1
  13  3.3317546e+01 7.99e-01 1.64e+05   1.0 2.31e+01    -  6.42e-01 4.43e-01h  1
  14  2.9795813e+01 2.88e-01 2.45e+05   2.1 1.40e+01    -  8.71e-01 6.69e-01H  1
  15  2.9332578e+01 3.04e-01 2.65e+05   2.3 1.49e+01    -  1.00e+00 5.00e-01f  2
  16  3.1736794e+01 1.42e+00 3.52e+05   2.5 1.67e+01    -  1.00e+00 1.00e+00f  1
  17  2.9140947e+01 9.75e-01 1.42e+05   2.4 1.18e+01    -  1.00e+00 1.00e+00h  1
  18  2.7553530e+01 4.54e-01 1.00e+05   2.0 8.76e+00    -  9.99e-01 1.00e+00h  1
  19  2.7236001e+01 5.34e-01 7.73e+04   1.8 7.99e+00    -  1.00e+00 7.71e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  2.6891701e+01 1.13e-01 3.04e+04   1.5 3.71e+00    -  9.35e-01 1.00e+00f  1
  21  2.7159700e+01 6.06e-02 2.35e+04   0.9 2.47e+00    -  9.99e-01 1.00e+00h  1
  22  2.7336682e+01 8.76e-02 4.37e+04   1.2 3.00e+00    -  1.00e+00 1.00e+00f  1
  23  2.7357880e+01 4.92e-02 3.25e+04   1.1 2.84e+00    -  1.00e+00 4.51e-01h  1
  24  2.7316515e+01 1.97e-02 9.71e+03   1.1 1.49e+00    -  1.00e+00 1.00e+00f  1
  25  2.7301983e+01 3.30e-03 6.18e+03   0.2 7.54e-01    -  1.00e+00 1.00e+00h  1
  26  2.7325248e+01 2.87e-03 6.40e+03   0.5 4.90e-01    -  1.00e+00 1.00e+00f  1
  27  2.7324950e+01 6.84e-04 6.40e+03   0.4 2.54e-01    -  1.00e+00 1.00e+00f  1
  28  2.7304547e+01 6.92e-04 2.58e+03  -0.4 2.50e-01    -  1.00e+00 1.00e+00h  1
  29  2.7309103e+01 3.68e-04 8.09e+02  -1.0 2.01e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.7314520e+01 1.23e-04 1.00e+03  -2.0 5.93e-02    -  1.00e+00 1.00e+00h  1
  31  2.7314243e+01 4.03e-06 1.99e+03  -3.0 3.37e-02    -  1.00e+00 1.00e+00H  1
  32  2.7306403e+01 8.67e-04 5.75e+03  -3.6 6.82e-02    -  1.00e+00 1.00e+00h  1
  33  2.7299416e+01 2.85e-03 1.20e+04  -3.7 1.34e-01    -  1.00e+00 6.51e-01h  1
  34  2.7309267e+01 1.67e-02 9.04e+03  -1.7 8.55e-01    -  7.51e-01 1.71e-01f  1
  35  2.7291154e+01 1.30e-02 1.02e+04  -1.9 5.46e-01    -  1.42e-01 3.75e-01H  1
  36  2.7294703e+01 8.48e-03 1.03e+04  -1.2 2.21e-01    -  1.00e+00 5.21e-01f  1
  37  2.7291095e+01 5.76e-03 1.17e+04  -1.0 2.60e-01    -  1.00e+00 4.87e-01H  1
  38  2.7291421e+01 2.58e-03 4.31e+03  -2.6 1.18e-01    -  7.56e-01 5.96e-01h  1
  39  2.7290242e+01 3.33e-04 3.04e+03  -3.1 3.40e-02    -  8.35e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.7287418e+01 3.43e-04 2.16e+03  -2.5 3.50e-02    -  1.00e+00 1.00e+00h  1
  41  2.7286760e+01 3.43e-04 3.45e+03  -2.6 2.32e-01    -  1.00e+00 1.70e-02h  5
  42  2.7272260e+01 1.58e-03 7.06e+03  -2.9 3.99e-01    -  1.00e+00 2.21e-01h  2
  43  2.7270069e+01 1.54e-03 7.63e+03  -2.6 3.84e-01    -  1.00e+00 3.32e-02h  4
  44  2.7259056e+01 1.61e-03 7.52e+03  -2.7 2.26e-01    -  1.00e+00 2.27e-01h  2
  45  2.7237122e+01 1.68e-03 8.00e+03  -2.8 1.78e-01    -  9.92e-01 5.59e-01H  1
  46  2.7236498e+01 1.68e-03 8.13e+03  -2.0 2.39e+00    -  5.53e-01 1.07e-03h  7
  47  2.7207625e+01 3.20e-03 1.05e+04  -2.0 6.54e-01    -  1.00e+00 1.89e-01h  2
  48  2.7193573e+01 2.83e-03 9.97e+03  -2.0 5.59e-01    -  6.60e-01 1.70e-01h  3
  49  2.7137827e+01 1.44e-02 2.03e+04  -1.4 1.96e+00    -  7.35e-01 2.66e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
