N_knots,seed,runtime_s,F_flat,F_full,var_obj_ZI,var_obj_IZ,var_obj_ZZ,var_obj_sum,converged
4,42,1131.1661,0.9999335063,0.9999335063,0.4509836496,0.4549649673,0.438172808,1.344121425,true
4,43,1384.2921,0.9999336748,0.9999336748,0.4509799317,0.454998392,0.4382175569,1.344195881,true
4,44,1691.0534,0.9574404086,0.9574404086,0.1166316687,0.05020956118,0.3179400004,0.4847812303,false
4,45,1345.9292,0.9278187752,0.9278187752,0.4986530973,0.2019911618,0.3101924308,1.01083669,false
4,46,1801.3545,0.9101938444,0.9101938444,0.06285091315,0.06300585485,0.4892177295,0.6150744975,false
8,42,1849.6516,0.9999028319,0.9999028319,0.135611592,0.09285961699,0.3119052587,0.5403764677,true
8,43,1872.6105,0.987110185,0.987110185,0.2254027219,0.3047485379,0.1475725989,0.6777238588,false
8,44,817.8824,0.9999001133,0.9999001133,0.07116606975,0.08139571965,0.2146659576,0.367227747,true
8,45,1823.4616,0.9999253244,0.9999253244,0.3141544422,0.2554825988,0.1650327142,0.7346697553,true
8,46,1831.7483,0.9999016325,0.9999016325,0.04208831149,0.1336547881,0.1921130827,0.3678561823,true
12,42,2494.7906,0.9999065021,0.9999065021,0.05945793096,0.06088328761,0.1368084197,0.2571496383,true
12,43,2420.8560,0.999918653,0.999918653,0.0455445328,0.1154139589,0.1322777662,0.2932362579,true
12,44,2395.1776,0.9999031417,0.9999031417,0.124479735,0.1302602497,0.1556366024,0.4103765871,true
12,45,2519.3356,0.9513374182,0.9513374182,0.1544342157,0.08837359322,0.1036947975,0.3465026064,false
12,46,2576.3169,0.9506114735,0.9506114735,0.1696930409,0.2244460507,0.09063627732,0.4847753689,false
16,42,3005.3117,0.9999000846,0.9999000846,0.01597642554,0.03142588926,0.09859281282,0.1459951276,true
16,43,3041.8009,0.999901653,0.999901653,0.08010111428,0.0572914599,0.1234971615,0.2608897357,true
16,44,2888.4579,0.9743855844,0.9743855844,0.3436827887,0.09440743641,0.1236113086,0.5617015337,false
16,45,3116.9350,0.9748898058,0.9748898058,0.2665647076,0.1321941373,0.1077080748,0.5064669197,false
16,46,3053.8840,0.974914785,0.974914785,0.2867673633,0.1378811683,0.1109865494,0.5356350811,false
20,42,3476.0605,0.9999000695,0.9999000695,0.02859396246,0.01379511747,0.08648641366,0.1288754936,true
20,43,3508.4607,0.9999033499,0.9999033499,0.05609313825,0.07889956104,0.08093591423,0.2159286135,true
20,44,3551.9135,0.9856906772,0.9856906772,0.1577465712,0.3433595348,0.1310964459,0.6322025519,false
20,45,3488.8936,0.9999001708,0.9999001708,0.0522268592,0.02947888775,0.1071947446,0.1889004916,true
20,46,3270.7339,0.9999018021,0.9999018021,0.07353560376,0.05995326293,0.07698478131,0.210473648,true
24,42,3569.2499,0.9999094189,0.9999094189,0.09028779837,0.04487366801,0.07641378066,0.211575247,true
24,43,5268.5605,0.9999001077,0.9999001077,0.02804273867,0.01282301843,0.07921821027,0.1200839674,true
24,44,4453.9314,0.991736735,0.991736735,0.178993251,0.321198126,0.1290063932,0.6291977702,false
24,45,3555.7906,0.999899989,0.999899989,0.05290578405,0.06935985026,0.07442851718,0.1966941515,true
24,46,3635.3603,0.9999000794,0.9999000794,0.05180546749,0.06690714995,0.07299839792,0.1917110154,true
