N_knots,seed,runtime_s,F_flat,F_full,var_obj_ZI,var_obj_IZ,var_obj_ZZ,var_obj_sum,converged
4,42,1131.1661,0.9999335063,0.9999335063,0.450984,0.454965,0.438173,1.34412,true
4,43,1384.2921,0.9999336748,0.9999336748,0.45098,0.454998,0.438218,1.3442,true
4,44,1691.0534,0.9574404086,0.9574404086,0.116632,0.0502096,0.31794,0.484781,false
4,45,1345.9292,0.9278187752,0.9278187752,0.498653,0.201991,0.310192,1.01084,false
4,46,1801.3545,0.9101938444,0.9101938444,0.0628509,0.0630059,0.489218,0.615074,false
8,42,1849.6516,0.9999028319,0.9999028319,0.135612,0.0928596,0.311905,0.540376,true
8,43,1872.6105,0.987110185,0.987110185,0.225403,0.304749,0.147573,0.677724,false
8,44,817.8824,0.9999001133,0.9999001133,0.0711661,0.0813957,0.214666,0.367228,true
8,45,1823.4616,0.9999253244,0.9999253244,0.314154,0.255483,0.165033,0.73467,true
8,46,1831.7483,0.9999016325,0.9999016325,0.0420883,0.133655,0.192113,0.367856,true
12,42,2494.7906,0.9999065021,0.9999065021,0.0594579,0.0608833,0.136808,0.25715,true
12,43,2420.8560,0.999918653,0.999918653,0.0455445,0.115414,0.132278,0.293236,true
12,44,2395.1776,0.9999031417,0.9999031417,0.12448,0.13026,0.155637,0.410377,true
12,45,2519.3356,0.9513374182,0.9513374182,0.154434,0.0883736,0.103695,0.346503,false
12,46,2576.3169,0.9506114735,0.9506114735,0.169693,0.224446,0.0906363,0.484775,false
16,42,3005.3117,0.9999000846,0.9999000846,0.0159764,0.0314259,0.0985928,0.145995,true
16,43,3041.8009,0.999901653,0.999901653,0.0801011,0.0572915,0.123497,0.26089,true
16,44,2888.4579,0.9743855844,0.9743855844,0.343683,0.0944074,0.123611,0.561702,false
16,45,3116.9350,0.9748898058,0.9748898058,0.266565,0.132194,0.107708,0.506467,false
16,46,3053.8840,0.974914785,0.974914785,0.286767,0.137881,0.110987,0.535635,false
20,42,3476.0605,0.9999000695,0.9999000695,0.028594,0.0137951,0.0864864,0.128875,true
20,43,3508.4607,0.9999033499,0.9999033499,0.0560931,0.0788996,0.0809359,0.215929,true
20,44,3551.9135,0.9856906772,0.9856906772,0.157747,0.34336,0.131096,0.632203,false
20,45,3488.8936,0.9999001708,0.9999001708,0.0522269,0.0294789,0.107195,0.1889,true
20,46,3270.7339,0.9999018021,0.9999018021,0.0735356,0.0599533,0.0769848,0.210474,true
24,42,3569.2499,0.9999094189,0.9999094189,0.0902878,0.0448737,0.0764138,0.211575,true
24,43,5268.5605,0.9999001077,0.9999001077,0.0280427,0.012823,0.0792182,0.120084,true
24,44,4453.9314,0.991736735,0.991736735,0.178993,0.321198,0.129006,0.629198,false
24,45,3555.7906,0.999899989,0.999899989,0.0529058,0.0693599,0.0744285,0.196694,true
