epsilon,F_robust,F_default
-0.02,0.4201195438,0.2859802582
-0.0196,0.4347028326,0.2953843522
-0.0192,0.4494831024,0.3058020704
-0.0188,0.4644428273,0.3172013733
-0.0184,0.4795644301,0.3295472165
-0.018,0.4948303604,0.3428016575
-0.0176,0.5102230895,0.3569239286
-0.0172,0.5257250818,0.3718706073
-0.0168,0.5413186736,0.3875956674
-0.0164,0.5569859528,0.4040508791
-0.016,0.5727085791,0.4211854995
-0.0156,0.5884676152,0.438946978
-0.0152,0.6042433683,0.4572805251
-0.0148,0.6200152457,0.476129975
-0.0144,0.635761642,0.4954371913
-0.014,0.6514598979,0.5151428962
-0.0136,0.6670863291,0.5351865254
-0.0132,0.6826162794,0.5555062796
-0.0128,0.6980242304,0.5760397633
-0.0124,0.7132840587,0.5967238508
-0.012,0.728369197,0.6174949636
-0.0116,0.7432529301,0.6382890714
-0.0112,0.7579086296,0.6590424754
-0.0108,0.7723100696,0.6796911779
-0.0104,0.786431615,0.7001717381
-0.01,0.8002484544,0.7204211784
-0.0096,0.813736808,0.7403771493
-0.0092,0.8268739361,0.7599783984
-0.0088,0.8396382767,0.7791646432
-0.0084,0.8520094198,0.7978767631
-0.008,0.8639680432,0.8160572928
-0.0076,0.8754959243,0.8336503036
-0.0072,0.886575772,0.8506016628
-0.0068,0.897191168,0.8668593988
-0.0064,0.9073264088,0.8823733091
-0.006,0.9169666044,0.8970958059
-0.0056,0.9260974698,0.910981592
-0.0052,0.9347054142,0.9239879189
-0.0048,0.9427775703,0.9360748514
-0.0044,0.9503018428,0.9472051946
-0.004,0.9572670535,0.9573447059
-0.0036,0.9636630606,0.9664622127
-0.0032,0.969480889,0.9745296763
-0.0028,0.97471287,0.9815222808
-0.0024,0.9793528073,0.9874185239
-0.002,0.9833960284,0.9922002749
-0.0016,0.9868394995,0.9958528161
-0.0012,0.9896818689,0.9983649322
-0.0008,0.9919234474,0.9997288827
-0.0004,0.9935662198,0.999940478
0,0.9946137761,0.9989990683
0.0004,0.9950712179,0.9969075322
0.0008,0.9949450846,0.9936723055
0.0012,0.9942432453,0.9893033441
0.0016,0.9929748128,0.9838141029
0.002,0.9911500479,0.9772214171
0.0024,0.9887802868,0.9695455768
0.0028,0.9858778811,0.9608101884
0.0032,0.9824561579,0.9510421266
0.0036,0.9785293641,0.9402714051
0.004,0.9741126544,0.9285311632
0.0044,0.96922204,0.9158575215
0.0048,0.9638743455,0.9022894271
0.0052,0.9580871499,0.8878685378
0.0056,0.9518787057,0.8726393105
0.006,0.9452678261,0.8566485427
0.0064,0.9382737652,0.8399454455
0.0068,0.9309160549,0.822581315
0.0072,0.9232143541,0.804609547
0.0076,0.9151882692,0.7860854854
0.008,0.9068571776,0.7670660476
0.0084,0.8982400726,0.7476096797
0.0088,0.8893554231,0.727776351
0.0092,0.8802210577,0.707626885
0.0096,0.8708540741,0.6872233535
0.01,0.861270799,0.6666284775
0.0104,0.8514867747,0.6459056182
0.0108,0.8415167812,0.6251184964
0.0112,0.8313748724,0.6043309982
0.0116,0.8210744428,0.5836070478
0.012,0.8106283058,0.5630104424
0.0124,0.8000487441,0.5426044709
0.0128,0.7893475871,0.5224518837
0.0132,0.7785362424,0.5026146774
0.0136,0.7676257261,0.4831539049
0.014,0.7566266467,0.464129324
0.0144,0.7455491957,0.4455994858
0.0148,0.7344030877,0.4276214182
0.0152,0.7231975446,0.4102503676
0.0156,0.7119411657,0.3935396736
0.016,0.7006419687,0.3775409046
0.0164,0.6893073033,0.3623031103
0.0168,0.6779438583,0.3478732417
0.0172,0.6665576825,0.3342956271
0.0176,0.6551542566,0.3216120495
0.018,0.6437385731,0.3098615126
0.0184,0.6323152636,0.2990801468
0.0188,0.6208887632,0.2893011183
0.0192,0.6094634765,0.2805545058
0.0196,0.5980439507,0.2728671907
0.02,0.5866350601,0.2662628285
