epsilon,F_robust,F_default
-0.02,0.3637976034,0.2147983339
-0.0196,0.3745527812,0.2325608128
-0.0192,0.3858064671,0.250864096
-0.0188,0.3975711422,0.2696763466
-0.0184,0.4098548045,0.2889654027
-0.018,0.4226607153,0.3086961461
-0.0176,0.4359871815,0.3288341979
-0.0172,0.4498274496,0.3493416383
-0.0168,0.4641696284,0.3701807029
-0.0164,0.4789966934,0.3913118474
-0.016,0.4942865802,0.4126949234
-0.0156,0.5100123223,0.4342890193
-0.0152,0.5261422595,0.4560516619
-0.0148,0.5426403287,0.4779401598
-0.0144,0.5594663652,0.4999112172
-0.014,0.5765765102,0.5219209383
-0.0136,0.5939236301,0.5439248234
-0.0132,0.6114577649,0.5658785829
-0.0128,0.6291266227,0.5877370284
-0.0124,0.6468761021,0.6094551435
-0.012,0.6646508011,0.6309881698
-0.0116,0.6823945485,0.6522917626
-0.0112,0.7000509221,0.6733209489
-0.0108,0.7175637744,0.6940317198
-0.0104,0.7348777053,0.7143802702
-0.01,0.7519385426,0.7343239511
-0.0096,0.7686937733,0.7538202749
-0.0092,0.7850929502,0.7728273934
-0.0088,0.8010880375,0.7913048597
-0.0084,0.8166337327,0.8092129356
-0.008,0.8316877426,0.8265130736
-0.0076,0.8462109954,0.843168087
-0.0072,0.8601678253,0.8591417096
-0.0068,0.8735260778,0.8743995015
-0.0064,0.8862572159,0.8889080886
-0.006,0.8983363422,0.9026361108
-0.0056,0.9097421972,0.9155534405
-0.0052,0.920457109,0.9276319126
-0.0048,0.9304669286,0.9388451484
-0.0044,0.9397609148,0.9491685196
-0.004,0.9483316023,0.9585794072
-0.0036,0.9561746445,0.9670571871
-0.0032,0.9632886523,0.9745831852
-0.0028,0.9696750017,0.9811409116
-0.0024,0.9753376484,0.9867159478
-0.002,0.9802829343,0.9912960477
-0.0016,0.9845193913,0.9948711714
-0.0012,0.9880575521,0.9974334929
-0.0008,0.9909097651,0.9989774267
-0.0004,0.9930900196,0.9994996422
0,0.9946137761,0.9989990683
0.0004,0.9954978163,0.9974769057
0.0008,0.9957600962,0.9949366098
0.0012,0.9954196191,0.9913838938
0.0016,0.9944963148,0.9868267094
0.002,0.9930109345,0.9812752113
0.0024,0.9909849539,0.9747417726
0.0028,0.988440487,0.9672408776
0.0032,0.9854002059,0.9587891593
0.0036,0.9818872685,0.9494054147
0.004,0.977925249,0.939110256
0.0044,0.9735380729,0.9279265282
0.0048,0.9687499496,0.9158787718
0.0052,0.9635853091,0.9029934821
0.0056,0.9580687304,0.8892990329
0.006,0.9522248732,0.8748252892
0.0064,0.946078398,0.8596038282
0.0068,0.9396538895,0.8436680591
0.0072,0.9329757651,0.8270522664
0.0076,0.9260681875,0.8097928457
0.008,0.9189549649,0.7919267216
0.0084,0.9116594481,0.7734928172
0.0088,0.9042044296,0.7545304364
0.0092,0.8966120288,0.7350802142
0.0096,0.8889035868,0.7151837208
0.01,0.8810995586,0.6948829002
0.0104,0.873219401,0.6742212125
0.0108,0.8652814698,0.653242046
0.0112,0.8573029247,0.6319891431
0.0116,0.8492996381,0.6105068411
0.012,0.8412861091,0.5888396762
0.0124,0.8332753969,0.5670327702
0.0128,0.8252790593,0.5451305538
0.0132,0.8173071081,0.5231771584
0.0136,0.8093679805,0.5012177222
0.014,0.8014685237,0.4792961917
0.0144,0.7936139914,0.4574560199
0.0148,0.7858080656,0.4357404941
0.0152,0.7780528901,0.4141921099
0.0156,0.77034912,0.392852563
0.016,0.7626959831,0.3717625616
0.0164,0.7550913642,0.3509626819
0.0168,0.7475318963,0.3304914831
0.0172,0.7400130604,0.3103866249
0.0176,0.7325293104,0.2906850637
0.018,0.7250741851,0.271421687
0.0184,0.7176404505,0.2526315463
0.0188,0.7102202043,0.2343457296
0.0192,0.702805056,0.2165960896
0.0196,0.695386227,0.1994113608
0.02,0.6879546996,0.1828197331
