time_ns,g_eff,u_X1,u_Y1,u_X2,u_Y2
0,2.107773855e-06,0,0,0,0
0.05,2.282867539e-06,0,0,0,0
0.1,2.471517527e-06,0,0,0,0
0.15,2.67468695e-06,0,0,0,0
0.2,2.893400186e-06,0,0,0,0
0.25,3.128746188e-06,0,0,0,0
0.3,3.381881953e-06,0,0,0,0
0.35,3.654036129e-06,0,0,0,0
0.4,3.946512768e-06,0,0,0,0
0.45,4.260695225e-06,0,0,0,0
0.5,4.598050206e-06,0,0,0,0
0.55,4.960131961e-06,0,0,0,0
0.6,5.348586634e-06,0,0,0,0
0.65,5.765156762e-06,0,0,0,0
0.7,6.21168593e-06,0,0,0,0
0.75,6.690123574e-06,0,0,0,0
0.8,7.202529944e-06,0,0,0,0
0.85,7.751081216e-06,0,0,0,0
0.9,8.338074758e-06,0,0,0,0
0.95,8.965934545e-06,0,0,0,0
1,9.637216724e-06,0,0,0,0
1.05,1.035461532e-05,0,0,0,0
1.1,1.112096811e-05,0,0,0,0
1.15,1.193926258e-05,0,0,0,0
1.2,1.281264207e-05,0,0,0,0
1.25,1.374441205e-05,0,0,0,0
1.3,1.473804647e-05,0,0,0,0
1.35,1.579719425e-05,0,0,0,0
1.4,1.692568593e-05,0,0,0,0
1.45,1.81275403e-05,0,0,0,0
1.5,1.940697127e-05,0,0,0,0
1.55,2.07683947e-05,0,0,0,0
1.6,2.221643534e-05,0,0,0,0
1.65,2.375593385e-05,0,0,0,0
1.7,2.539195383e-05,0,0,0,0
1.75,2.712978889e-05,0,0,0,0
1.8,2.897496975e-05,0,0,0,0
1.85,3.093327129e-05,0,0,0,0
1.9,3.301071961e-05,0,0,0,0
1.95,3.521359908e-05,0,0,0,0
2,3.754845925e-05,0,0,0,0
2.05,4.002212177e-05,0,0,0,0
2.1,4.264168711e-05,0,0,0,0
2.15,4.541454124e-05,0,0,0,0
2.2,4.83483621e-05,0,0,0,0
2.25,5.14511259e-05,0,0,0,0
2.3,5.473111323e-05,0,0,0,0
2.35,5.819691494e-05,0,0,0,0
2.4,6.18574377e-05,0,0,0,0
2.45,6.572190934e-05,0,0,0,0
2.5,6.979988383e-05,0,0,0,0
2.55,7.410124586e-05,0,0,0,0
2.6,7.863621511e-05,0,0,0,0
2.65,8.341535002e-05,0,0,0,0
2.7,8.84495511e-05,0,0,0,0
2.75,9.37500638e-05,0,0,0,0
2.8,9.932848078e-05,0,0,0,0
2.85,0.0001051967436,0,0,0,0
2.9,0.0001113671438,0,0,0,0
2.95,0.0001178523236,0,0,0,0
3,0.000124665275,0,0,0,0
3.05,0.0001318193396,0,0,0,0
3.1,0.0001393282062,0,0,0,0
3.15,0.0001472059086,0,0,0,0
3.2,0.000155466822,0,0,0,0
3.25,0.0001641256586,0,0,0,0
3.3,0.0001731974625,0,0,0,0
3.35,0.0001826976034,0,0,0,0
3.4,0.0001926417691,0,0,0,0
3.45,0.0002030459576,0,0,0,0
3.5,0.0002139264673,0,0,0,0
3.55,0.0002252998869,0,0,0,0
3.6,0.0002371830831,0,0,0,0
3.65,0.0002495931882,0,0,0,0
3.7,0.0002625475859,0,0,0,0
3.75,0.0002760638958,0,0,0,0
3.8,0.0002901599566,0,0,0,0
3.85,0.0003048538085,0,0,0,0
3.9,0.0003201636737,0,0,0,0
3.95,0.0003361079356,0,0,0,0
4,0.0003527051171,0,0,0,0
4.05,0.0003699738566,0,0,0,0
4.1,0.000387932884,0,0,0,0
4.15,0.0004066009938,0,0,0,0
4.2,0.0004259970176,0,0,0,0
4.25,0.0004461397953,0,0,0,0
4.3,0.0004670481444,0,0,0,0
4.35,0.0004887408282,0,0,0,0
4.4,0.0005112365226,0,0,0,0
4.45,0.0005345537814,0,0,0,0
4.5,0.0005587110003,0,0,0,0
4.55,0.0005837263799,0,0,0,0
4.6,0.0006096178865,0,0,0,0
4.65,0.0006364032131,0,0,0,0
4.7,0.0006640997376,0,0,0,0
4.75,0.0006927244807,0,0,0,0
4.8,0.000722294063,0,0,0,0
4.85,0.00075282466,0,0,0,0
4.9,0.0007843319571,0,0,0,0
4.95,0.0008168311031,0,0,0,0
5,0.0008503366632,0,0,0,0
5.05,0.0008848625705,0,0,0,0
5.1,0.0009204220781,0,0,0,0
5.15,0.0009570277093,0,0,0,0
5.2,0.0009946912081,0,0,0,0
5.25,0.001033423489,0,0,0,0
5.3,0.001073234586,0,0,0,0
5.35,0.001114133604,0,0,0,0
5.4,0.001156128666,0,0,0,0
5.45,0.001199226861,0,0,0,0
5.5,0.001243434198,0,0,0,0
5.55,0.001288755555,0,0,0,0
5.6,0.001335194623,0,0,0,0
5.65,0.001382753867,0,0,0,0
5.7,0.001431434469,0,0,0,0
5.75,0.001481236284,0,0,0,0
5.8,0.001532157797,0,0,0,0
5.85,0.001584196069,0,0,0,0
5.9,0.001637346701,0,0,0,0
5.95,0.001691603789,0,0,0,0
6,0.001746959881,0,0,0,0
6.05,0.001803405941,0,0,0,0
6.1,0.001860931309,0,0,0,0
6.15,0.001919523669,0,0,0,0
6.2,0.001979169013,0,0,0,0
6.25,0.002039851613,0,0,0,0
6.3,0.00210155399,0,0,0,0
6.35,0.002164256894,0,0,0,0
6.4,0.002227939275,0,0,0,0
6.45,0.00229257827,0,0,0,0
6.5,0.002358149182,0,0,0,0
6.55,0.002424625468,0,0,0,0
6.6,0.002491978732,0,0,0,0
6.65,0.002560178715,0,0,0,0
6.7,0.002629193293,0,0,0,0
6.75,0.002698988482,0,0,0,0
6.8,0.002769528437,0,0,0,0
6.85,0.002840775466,0,0,0,0
6.9,0.00291269004,0,0,0,0
6.95,0.002985230808,0,0,0,0
7,0.003058354623,0,0,0,0
7.05,0.003132016563,0,0,0,0
7.1,0.003206169962,0,0,0,0
7.15,0.003280766442,0,0,0,0
7.2,0.003355755953,0,0,0,0
7.25,0.003431086814,0,0,0,0
7.3,0.003506705758,0,0,0,0
7.35,0.003582557986,0,0,0,0
7.4,0.003658587216,0,0,0,0
7.45,0.00373473575,0,0,0,0
7.5,0.003810944529,0,0,0,0
7.55,0.003887153207,0,0,0,0
7.6,0.003963300217,0,0,0,0
7.65,0.004039322849,0,0,0,0
7.7,0.004115157329,0,0,0,0
7.75,0.004190738898,0,0,0,0
7.8,0.004266001904,0,0,0,0
7.85,0.004340879887,0,0,0,0
7.9,0.004415305671,0,0,0,0
7.95,0.004489211467,0,0,0,0
8,0.004562528961,0,0,0,0
8.05,0.004635189424,0,0,0,0
8.1,0.004707123815,0,0,0,0
8.15,0.004778262881,0,0,0,0
8.2,0.004848537274,0,0,0,0
8.25,0.004917877655,0,0,0,0
8.3,0.004986214808,0,0,0,0
8.35,0.005053479755,0,0,0,0
8.4,0.005119603867,0,0,0,0
8.45,0.005184518983,0,0,0,0
8.5,0.00524815752,0,0,0,0
8.55,0.005310452597,0,0,0,0
8.6,0.005371338145,0,0,0,0
8.65,0.005430749025,0,0,0,0
8.7,0.005488621145,0,0,0,0
8.75,0.005544891572,0,0,0,0
8.8,0.005599498647,0,0,0,0
8.85,0.005652382097,0,0,0,0
8.9,0.005703483146,0,0,0,0
8.95,0.005752744622,0,0,0,0
9,0.005800111064,0,0,0,0
9.05,0.00584552883,0,0,0,0
9.1,0.005888946189,0,0,0,0
9.15,0.005930313429,0,0,0,0
9.2,0.005969582944,0,0,0,0
9.25,0.006006709332,0,0,0,0
9.3,0.006041649474,0,0,0,0
9.35,0.006074362627,0,0,0,0
9.4,0.006104810497,0,0,0,0
9.45,0.006132957313,0,0,0,0
9.5,0.006158769902,0,0,0,0
9.55,0.006182217751,0,0,0,0
9.6,0.006203273065,0,0,0,0
9.65,0.006221910827,0,0,0,0
9.7,0.006238108843,0,0,0,0
9.75,0.00625184779,0,0,0,0
9.8,0.00626311125,0,0,0,0
9.85,0.006271885746,0,0,0,0
9.9,0.006278160769,0,0,0,0
9.95,0.006281928796,0,0,0,0
10,0.006283185307,0,0,0,0
10.05,0.006283185307,0,0,0,0
10.1,0.006283185307,0,0,0,0
10.15,0.006283185307,0,0,0,0
10.2,0.006283185307,0,0,0,0
10.25,0.006283185307,0,0,0,0
10.3,0.006283185307,0,0,0,0
10.35,0.006283185307,0,0,0,0
10.4,0.006283185307,0,0,0,0
10.45,0.006283185307,0,0,0,0
10.5,0.006283185307,0,0,0,0
10.55,0.006283185307,0,0,0,0
10.6,0.006283185307,0,0,0,0
10.65,0.006283185307,0,0,0,0
10.7,0.006283185307,0,0,0,0
10.75,0.006283185307,0,0,0,0
10.8,0.006283185307,0,0,0,0
10.85,0.006283185307,0,0,0,0
10.9,0.006283185307,0,0,0,0
10.95,0.006283185307,0,0,0,0
11,0.006283185307,0,0,0,0
11.05,0.006283185307,0,0,0,0
11.1,0.006283185307,0,0,0,0
11.15,0.006283185307,0,0,0,0
11.2,0.006283185307,0,0,0,0
11.25,0.006283185307,0,0,0,0
11.3,0.006283185307,0,0,0,0
11.35,0.006283185307,0,0,0,0
11.4,0.006283185307,0,0,0,0
11.45,0.006283185307,0,0,0,0
11.5,0.006283185307,0,0,0,0
11.55,0.006283185307,0,0,0,0
11.6,0.006283185307,0,0,0,0
11.65,0.006283185307,0,0,0,0
11.7,0.006283185307,0,0,0,0
11.75,0.006283185307,0,0,0,0
11.8,0.006283185307,0,0,0,0
11.85,0.006283185307,0,0,0,0
11.9,0.006283185307,0,0,0,0
11.95,0.006283185307,0,0,0,0
12,0.006283185307,0,0,0,0
12.05,0.006283185307,0,0,0,0
12.1,0.006283185307,0,0,0,0
12.15,0.006283185307,0,0,0,0
12.2,0.006283185307,0,0,0,0
12.25,0.006283185307,0,0,0,0
12.3,0.006283185307,0,0,0,0
12.35,0.006283185307,0,0,0,0
12.4,0.006283185307,0,0,0,0
12.45,0.006283185307,0,0,0,0
12.5,0.006283185307,0,0,0,0
12.55,0.006283185307,0,0,0,0
12.6,0.006283185307,0,0,0,0
12.65,0.006283185307,0,0,0,0
12.7,0.006283185307,0,0,0,0
12.75,0.006283185307,0,0,0,0
12.8,0.006283185307,0,0,0,0
12.85,0.006283185307,0,0,0,0
12.9,0.006283185307,0,0,0,0
12.95,0.006283185307,0,0,0,0
13,0.006283185307,0,0,0,0
13.05,0.006283185307,0,0,0,0
13.1,0.006283185307,0,0,0,0
13.15,0.006283185307,0,0,0,0
13.2,0.006283185307,0,0,0,0
13.25,0.006283185307,0,0,0,0
13.3,0.006283185307,0,0,0,0
13.35,0.006283185307,0,0,0,0
13.4,0.006283185307,0,0,0,0
13.45,0.006283185307,0,0,0,0
13.5,0.006283185307,0,0,0,0
13.55,0.006283185307,0,0,0,0
13.6,0.006283185307,0,0,0,0
13.65,0.006283185307,0,0,0,0
13.7,0.006283185307,0,0,0,0
13.75,0.006283185307,0,0,0,0
13.8,0.006283185307,0,0,0,0
13.85,0.006283185307,0,0,0,0
13.9,0.006283185307,0,0,0,0
13.95,0.006283185307,0,0,0,0
14,0.006283185307,0,0,0,0
14.05,0.006283185307,0,0,0,0
14.1,0.006283185307,0,0,0,0
14.15,0.006283185307,0,0,0,0
14.2,0.006283185307,0,0,0,0
14.25,0.006283185307,0,0,0,0
14.3,0.006283185307,0,0,0,0
14.35,0.006283185307,0,0,0,0
14.4,0.006283185307,0,0,0,0
14.45,0.006283185307,0,0,0,0
14.5,0.006283185307,0,0,0,0
14.55,0.006283185307,0,0,0,0
14.6,0.006283185307,0,0,0,0
14.65,0.006283185307,0,0,0,0
14.7,0.006283185307,0,0,0,0
14.75,0.006283185307,0,0,0,0
14.8,0.006283185307,0,0,0,0
14.85,0.006283185307,0,0,0,0
14.9,0.006283185307,0,0,0,0
14.95,0.006283185307,0,0,0,0
15,0.006283185307,0,0,0,0
15.05,0.006283185307,0,0,0,0
15.1,0.006283185307,0,0,0,0
15.15,0.006283185307,0,0,0,0
15.2,0.006283185307,0,0,0,0
15.25,0.006283185307,0,0,0,0
15.3,0.006283185307,0,0,0,0
15.35,0.006283185307,0,0,0,0
15.4,0.006283185307,0,0,0,0
15.45,0.006283185307,0,0,0,0
15.5,0.006283185307,0,0,0,0
15.55,0.006283185307,0,0,0,0
15.6,0.006283185307,0,0,0,0
15.65,0.006283185307,0,0,0,0
15.7,0.006283185307,0,0,0,0
15.75,0.006283185307,0,0,0,0
15.8,0.006283185307,0,0,0,0
15.85,0.006283185307,0,0,0,0
15.9,0.006283185307,0,0,0,0
15.95,0.006283185307,0,0,0,0
16,0.006283185307,0,0,0,0
16.05,0.006283185307,0,0,0,0
16.1,0.006283185307,0,0,0,0
16.15,0.006283185307,0,0,0,0
16.2,0.006283185307,0,0,0,0
16.25,0.006283185307,0,0,0,0
16.3,0.006283185307,0,0,0,0
16.35,0.006283185307,0,0,0,0
16.4,0.006283185307,0,0,0,0
16.45,0.006283185307,0,0,0,0
16.5,0.006283185307,0,0,0,0
16.55,0.006283185307,0,0,0,0
16.6,0.006283185307,0,0,0,0
16.65,0.006283185307,0,0,0,0
16.7,0.006283185307,0,0,0,0
16.75,0.006283185307,0,0,0,0
16.8,0.006283185307,0,0,0,0
16.85,0.006283185307,0,0,0,0
16.9,0.006283185307,0,0,0,0
16.95,0.006283185307,0,0,0,0
17,0.006283185307,0,0,0,0
17.05,0.006283185307,0,0,0,0
17.1,0.006283185307,0,0,0,0
17.15,0.006283185307,0,0,0,0
