epsilon,F_robust,F_default
-0.02,0.5463416091,0.1987142794
-0.0196,0.5683835695,0.2159147904
-0.0192,0.5900919515,0.2336844915
-0.0188,0.6114190995,0.2519910167
-0.0184,0.6323204924,0.2708047128
-0.018,0.6527549072,0.2900913622
-0.0176,0.6726845456,0.3098182519
-0.0172,0.6920751313,0.3299507684
-0.0168,0.7108959817,0.3504516707
-0.0164,0.7291200561,0.3712822129
-0.016,0.7467239701,0.3924027451
-0.0156,0.7636880009,0.4137752881
-0.0152,0.7799960248,0.4353566505
-0.0148,0.7956354778,0.4571046977
-0.0144,0.8105972947,0.4789785368
-0.014,0.8248757776,0.5009338106
-0.0136,0.8384685021,0.522926479
-0.0132,0.8513761594,0.5449133417
-0.0128,0.8636024243,0.5668487732
-0.0124,0.8751537738,0.5886885332
-0.012,0.8860393016,0.6103886907
-0.0116,0.8962705834,0.6319040056
-0.0112,0.9058613817,0.6531889444
-0.0108,0.9148275295,0.6741990943
-0.0104,0.9231866774,0.6948914108
-0.01,0.9309580909,0.7152216039
-0.0096,0.9381624389,0.7351473819
-0.0092,0.9448215605,0.7546256764
-0.0088,0.9509583023,0.7736146144
-0.0084,0.956596255,0.7920748984
-0.008,0.9617595246,0.8099665016
-0.0076,0.9664726177,0.8272499146
-0.0072,0.9707601797,0.8438890404
-0.0068,0.9746468087,0.8598473222
-0.0064,0.9781569331,0.8750901764
-0.006,0.9813145696,0.8895843858
-0.0056,0.984143095,0.903298174
-0.0052,0.9866653713,0.9162020077
-0.0048,0.9889032139,0.9282670796
-0.0044,0.990877529,0.9394676919
-0.004,0.9926081237,0.9497788815
-0.0036,0.9941135604,0.9591778458
-0.0032,0.9954110583,0.9676440566
-0.0028,0.9965164,0.9751587671
-0.0024,0.9974438751,0.9817054464
-0.002,0.9982061723,0.9872696122
-0.0016,0.9988143269,0.9918389983
-0.0012,0.9992776664,0.995403487
-0.0008,0.9996037647,0.9979552017
-0.0004,0.9997984084,0.9994884926
0,0.9998655708,0.9999999673
0.0004,0.9998073966,0.9994884926
0.0008,0.9996241952,0.9979552017
0.0012,0.9993144441,0.995403487
0.0016,0.9988748011,0.9918389983
0.002,0.9983001264,0.9872696122
0.0024,0.9975835127,0.9817054464
0.0028,0.9967163274,0.9751587671
0.0032,0.9956882609,0.9676440566
0.0036,0.9944873772,0.9591778458
0.004,0.9931002095,0.9497788815
0.0044,0.9915118176,0.9394676919
0.0048,0.9897058685,0.9282670796
0.0052,0.9876647341,0.9162020077
0.0056,0.9853696191,0.903298174
0.006,0.9828007394,0.8895843858
0.0064,0.9799371988,0.8750901764
0.0068,0.9767574725,0.8598473222
0.0072,0.9732392984,0.8438890404
0.0076,0.969359883,0.8272499146
0.008,0.965096126,0.8099665016
0.0084,0.9604247358,0.7920748984
0.0088,0.9553223976,0.7736146144
0.0092,0.949766017,0.7546256764
0.0096,0.9437328217,0.7351473819
0.01,0.9372005802,0.7152216039
0.0104,0.9301478381,0.6948914108
0.0108,0.9225540754,0.6741990943
0.0112,0.9143999169,0.6531889444
0.0116,0.9056673253,0.6319040056
0.012,0.8963398081,0.6103886907
0.0124,0.886402631,0.5886885332
0.0128,0.8758429372,0.5668487732
0.0132,0.8646500287,0.5449133417
0.0136,0.8528154857,0.522926479
0.014,0.8403333511,0.5009338106
0.0144,0.827200296,0.4789785368
0.0148,0.8134157578,0.4571046977
0.0152,0.7989820744,0.4353566505
0.0156,0.7839046073,0.4137752881
0.016,0.7681918571,0.3924027451
0.0164,0.751855535,0.3712822129
0.0168,0.7349106,0.3504516707
0.0172,0.7173753427,0.3299507684
0.0176,0.6992714045,0.3098182519
0.018,0.6806237591,0.2900913622
0.0184,0.6614606955,0.2708047128
0.0188,0.6418137805,0.2519910167
0.0192,0.6217177739,0.2336844915
0.0196,0.6012105386,0.2159147904
0.02,0.5803329167,0.1987142794
