epsilon,F_robust,F_default
-0.02,0.7053007801,0.1986528759
-0.0196,0.7210205459,0.2158535044
-0.0192,0.7362652521,0.2336204443
-0.0188,0.7510250816,0.2519272521
-0.0184,0.7652921994,0.2707401549
-0.018,0.7790606766,0.2900275587
-0.0176,0.7923264375,0.3097560807
-0.0172,0.8050871805,0.3298893226
-0.0168,0.8173423073,0.350389534
-0.0164,0.8290928359,0.3712205291
-0.016,0.8403413147,0.3923410906
-0.0156,0.8510917447,0.413713907
-0.0152,0.8613494759,0.4352964982
-0.0148,0.8711211193,0.4570454029
-0.0144,0.8804144542,0.4789207994
-0.014,0.8892383298,0.5008772244
-0.0136,0.8976025679,0.5228709266
-0.0132,0.9055178728,0.5448600007
-0.0128,0.9129957282,0.5667972489
-0.0124,0.920048306,0.5886394285
-0.012,0.9266883733,0.6103414833
-0.0116,0.9329292096,0.6318581589
-0.0112,0.9387844928,0.6531447908
-0.0108,0.944268236,0.6741574608
-0.0104,0.9493946926,0.694851563
-0.01,0.9541782736,0.7151840125
-0.0096,0.9586334704,0.7351119596
-0.0092,0.9627747743,0.754592636
-0.0088,0.9666166149,0.773584002
-0.0084,0.9701732797,0.7920464511
-0.008,0.9734588376,0.8099398477
-0.0076,0.9764871009,0.827225726
-0.0072,0.97927155,0.8438668247
-0.0068,0.9818252743,0.8598268673
-0.0064,0.984160941,0.8750720636
-0.006,0.9862907208,0.8895682563
-0.0056,0.9882262225,0.9032840021
-0.0052,0.9899785461,0.9161898328
-0.0048,0.9915581076,0.9282567231
-0.0044,0.9929746988,0.93945889
-0.004,0.9942374335,0.9497714432
-0.0036,0.9953547067,0.9591717628
-0.0032,0.9963341673,0.9676392121
-0.0028,0.9971826952,0.9751550507
-0.0024,0.9979063947,0.9817026814
-0.002,0.99851056,0.9872676992
-0.0016,0.9989996641,0.991837769
-0.0012,0.9993773473,0.9954027911
-0.0008,0.9996464056,0.997954895
-0.0004,0.9998087839,0.9994884161
0,0.9998655708,0.9999999678
0.0004,0.9998169958,0.9994884161
0.0008,0.9996624295,0.997954895
0.0012,0.9994003865,0.9954027911
0.0016,0.9990285297,0.991837769
0.002,0.9985436788,0.9872676992
0.0024,0.9979418201,0.9817026814
0.0028,0.99721812,0.9751550507
0.0032,0.9963669393,0.9676392121
0.0036,0.9953818475,0.9591717628
0.004,0.99425566,0.9497714432
0.0044,0.9929804475,0.93945889
0.0048,0.9915475603,0.9282567231
0.0052,0.9899476608,0.9161898328
0.0056,0.9881707651,0.9032840021
0.006,0.9862063024,0.8895682563
0.0064,0.984043054,0.8750720636
0.0068,0.9816693365,0.8598268673
0.0072,0.9790729458,0.8438668247
0.0076,0.97624123,0.827225726
0.008,0.9731611655,0.8099398477
0.0084,0.9698193899,0.7920464511
0.0088,0.9662022633,0.773584002
0.0092,0.9622959471,0.754592636
0.0096,0.9580864456,0.7351119596
0.01,0.9535596827,0.7151840125
0.0104,0.9487015835,0.694851563
0.0108,0.9434981424,0.6741574608
0.0112,0.9379354969,0.6531447908
0.0116,0.932000015,0.6318581589
0.012,0.9256783722,0.6103414833
0.0124,0.9189576454,0.5886394285
0.0128,0.9118253849,0.5667972489
0.0132,0.9042697203,0.5448600007
0.0136,0.8962794393,0.5228709266
0.014,0.8878440871,0.5008772244
0.0144,0.87895405,0.4789207994
0.0148,0.8696006565,0.4570454029
0.0152,0.859776262,0.4352964982
0.0156,0.8494743425,0.413713907
0.016,0.8386895906,0.3923410906
0.0164,0.8274179963,0.3712205291
0.0168,0.8156569317,0.350389534
0.0172,0.80340524,0.3298893226
0.0176,0.7906633142,0.3097560807
0.018,0.7774331675,0.2900275587
0.0184,0.76371851,0.2707401549
0.0188,0.7495248079,0.2519272521
0.0192,0.7348593458,0.2336204443
0.0196,0.7197312747,0.2158535044
0.02,0.7041516661,0.1986528759
