epsilon,F_robust,F_default
-0.02,0.6448811732,0.03335276492
-0.0196,0.6605540708,0.04402854916
-0.0192,0.6759682175,0.05610774693
-0.0188,0.6911037271,0.06955318021
-0.0184,0.705941952,0.08432346592
-0.018,0.7204655347,0.1003731433
-0.0176,0.7346584485,0.1176528137
-0.0172,0.748506034,0.136109293
-0.0168,0.7619950231,0.1556857746
-0.0164,0.7751135582,0.1763220052
-0.016,0.7878511984,0.1979544693
-0.0156,0.800198923,0.2205165855
-0.0152,0.8121491265,0.2439389107
-0.0148,0.8236955961,0.2681493545
-0.0144,0.8348335006,0.2930734008
-0.014,0.8455593527,0.3186343369
-0.0136,0.8558709762,0.3447534899
-0.0132,0.8657674676,0.371350469
-0.0128,0.875249141,0.3983434126
-0.0124,0.8843174821,0.4256492402
-0.012,0.8929750847,0.4531839085
-0.0116,0.9012255925,0.48086267
-0.0112,0.9090736292,0.5086003332
-0.0108,0.9165247307,0.5363115259
-0.0104,0.9235852713,0.5639109569
-0.01,0.9302623877,0.5913136793
-0.0096,0.9365639053,0.6184353514
-0.0092,0.9424982526,0.6451924968
-0.0088,0.9480743886,0.6715027608
-0.0084,0.9533017188,0.6972851643
-0.008,0.9581900151,0.7224603528
-0.0076,0.9627493369,0.7469508408
-0.0072,0.9669899502,0.77068125
-0.0068,0.9709222506,0.7935785419
-0.0064,0.9745566857,0.8155722418
-0.006,0.9779036815,0.8365946563
-0.0056,0.9809735683,0.8565810816
-0.0052,0.98377651,0.8754700023
-0.0048,0.9863224374,0.893203281
-0.0044,0.9886209827,0.9097263375
-0.004,0.9906814173,0.924988316
-0.0036,0.9925125949,0.9389422424
-0.0032,0.9941228933,0.9515451687
-0.0028,0.9955201672,0.9627583047
-0.0024,0.9967116966,0.9725471382
-0.002,0.9977041456,0.9808815406
-0.0016,0.9985035214,0.9877358597
-0.0012,0.9991151389,0.9930889989
-0.0008,0.9995435889,0.9969244822
-0.0004,0.9997927112,0.9992305043
0,0.9998655708,0.9999999678
0.0004,0.9997644395,0.9992305043
0.0008,0.9994907813,0.9969244822
0.0012,0.9990452423,0.9930889989
0.0016,0.9984276449,0.9877358597
0.002,0.9976369866,0.9808815406
0.0024,0.9966714432,0.9725471382
0.0028,0.9955283764,0.9627583047
0.0032,0.9942043456,0.9515451687
0.0036,0.9926951249,0.9389422424
0.004,0.9909957235,0.924988316
0.0044,0.9891004115,0.9097263375
0.0048,0.987002749,0.893203281
0.0052,0.9846956212,0.8754700023
0.0056,0.9821712762,0.8565810816
0.006,0.9794213677,0.8365946563
0.0064,0.9764370018,0.8155722418
0.0068,0.9732087881,0.7935785419
0.0072,0.9697268957,0.77068125
0.0076,0.9659811097,0.7469508408
0.008,0.9619608958,0.7224603528
0.0084,0.9576554652,0.6972851643
0.0088,0.9530538447,0.6715027608
0.0092,0.9481449492,0.6451924968
0.0096,0.9429176573,0.6184353514
0.01,0.9373608881,0.5913136793
0.0104,0.9314636835,0.5639109569
0.0108,0.9252152895,0.5363115259
0.0112,0.91860524,0.5086003332
0.0116,0.9116234439,0.48086267
0.012,0.9042602689,0.4531839085
0.0124,0.8965066298,0.4256492402
0.0128,0.8883540744,0.3983434126
0.0132,0.8797948689,0.371350469
0.0136,0.8708220852,0.3447534899
0.014,0.861429682,0.3186343369
0.0144,0.8516125871,0.2930734008
0.0148,0.8413667784,0.2681493545
0.0152,0.8306893551,0.2439389107
0.0156,0.8195786139,0.2205165855
0.016,0.8080341155,0.1979544693
0.0164,0.7960567478,0.1763220052
0.0168,0.7836487816,0.1556857746
0.0172,0.7708139265,0.136109293
0.0176,0.7575573736,0.1176528137
0.018,0.7438858343,0.1003731433
0.0184,0.7298075741,0.08432346592
0.0188,0.7153324323,0.06955318021
0.0192,0.7004718444,0.05610774693
0.0196,0.6852388431,0.04402854916
0.02,0.6696480603,0.03335276492
