epsilon,F_robust,F_default
-0.02,0.7824842553,0.74696954
-0.0196,0.7893840707,0.7567206977
-0.0192,0.7962826088,0.7663707641
-0.0188,0.8031683403,0.7759121357
-0.0184,0.8100295298,0.7853375009
-0.018,0.8168544221,0.7946397529
-0.0176,0.8236314254,0.8038117106
-0.0172,0.8303492914,0.8128463514
-0.0168,0.8369972756,0.8217367454
-0.0164,0.843565281,0.8304760636
-0.016,0.8500439848,0.8390576298
-0.0156,0.8564249411,0.8474748934
-0.0152,0.8627006599,0.8557212899
-0.0148,0.8688646581,0.8637905949
-0.0144,0.874911482,0.8716765343
-0.014,0.8808367087,0.8793732266
-0.0136,0.8866369126,0.8868746166
-0.0132,0.8923096121,0.8941749563
-0.0128,0.8978531918,0.901268619
-0.0124,0.9032667999,0.9081503816
-0.012,0.9085502355,0.9148146965
-0.0116,0.9137038084,0.9212566168
-0.0112,0.9187282035,0.9274713416
-0.0108,0.9236243235,0.9334537718
-0.0104,0.9283931384,0.9391994363
-0.01,0.9330355316,0.9447039963
-0.0096,0.9375521549,0.9499632511
-0.0092,0.9419432857,0.9549729852
-0.0088,0.9462087071,0.9597296729
-0.0084,0.950347594,0.9642294224
-0.008,0.9543584237,0.9684688132
-0.0076,0.9582389068,0.9724447294
-0.0072,0.9619859392,0.976153945
-0.0068,0.9655955768,0.9795937039
-0.0064,0.9690630368,0.9827612918
-0.006,0.9723827222,0.9856543826
-0.0056,0.9755482666,0.9882706398
-0.0052,0.9785526034,0.990608224
-0.0048,0.9813880528,0.9926651653
-0.0044,0.9840464262,0.9944400151
-0.004,0.9865191434,0.9959313343
-0.0036,0.9887973638,0.9971380331
-0.0032,0.9908721205,0.9980590798
-0.0028,0.992734461,0.9986939097
-0.0024,0.9943755874,0.9990419533
-0.002,0.9957869948,0.9991029308
-0.0016,0.9969605979,0.9988768575
-0.0012,0.9978888505,0.9983638665
-0.0008,0.9985648566,0.9975642706
-0.0004,0.9989824546,0.9964786913
0,0.9991363033,0.9951082655
0.0004,0.9990219215,0.9934536088
0.0008,0.998635735,0.9915162262
0.0012,0.9979750892,0.9892974877
0.0016,0.9970382461,0.9867992409
0.002,0.9958243565,0.9840232707
0.0024,0.9943334351,0.9809717624
0.0028,0.9925662825,0.9776470446
0.0032,0.9905244345,0.9740516481
0.0036,0.9882100739,0.9701883201
0.004,0.9856259453,0.9660600299
0.0044,0.9827752619,0.9616700037
0.0048,0.9796616116,0.9570214317
0.0052,0.976288866,0.9521182288
0.0056,0.9726610914,0.9469637042
0.006,0.9687824707,0.9415621722
0.0064,0.9646572342,0.9359175726
0.0068,0.9602896035,0.9300341867
0.0072,0.9556837506,0.9239166184
0.0076,0.9508437729,0.9175697414
0.008,0.9457736873,0.9109979967
0.0084,0.9404774395,0.9042066437
0.0088,0.9349589332,0.8972010913
0.0092,0.9292220774,0.8899863365
0.0096,0.9232708457,0.8825682421
0.01,0.9171093536,0.8749522073
0.0104,0.9107419477,0.8671443107
0.0108,0.9041733018,0.8591504948
0.0112,0.8974085217,0.8509767094
0.0116,0.8904532522,0.8426292882
0.012,0.8833137859,0.834114801
0.0124,0.8759971617,0.8254396505
0.0128,0.8685112671,0.8166103811
0.0132,0.8608649182,0.8076339961
0.0136,0.8530679323,0.7985171417
0.014,0.8451311796,0.7892669848
0.0144,0.8370666057,0.7798905218
0.0148,0.8288873364,0.7703950144
0.0152,0.820607405,0.7607875712
0.0156,0.8122420414,0.7510757113
0.016,0.8038074069,0.7412668201
0.0164,0.7953205492,0.7313684384
0.0168,0.7867992849,0.7213881862
0.0172,0.7782620537,0.7113336854
0.0176,0.7697277551,0.7012127196
0.018,0.7612155542,0.691032878
0.0184,0.7527447114,0.6808021287
0.0188,0.744334306,0.6705280166
0.0192,0.7360030475,0.6602189135
0.0196,0.7277690293,0.6498823582
0.02,0.719649489,0.6395263616
