epsilon,F_robust,F_default
-0.02,0.8127956233,0.7521496487
-0.0196,0.8180837546,0.7617014858
-0.0192,0.8234036073,0.771125548
-0.0188,0.8287507892,0.7804171143
-0.0184,0.8341206053,0.7895708984
-0.018,0.8395080798,0.7985816566
-0.0176,0.8449079664,0.8074456821
-0.0172,0.8503147638,0.8161574504
-0.0168,0.8557227322,0.8247120306
-0.0164,0.8611259111,0.8331052434
-0.016,0.8665181405,0.8413324117
-0.0156,0.8718930744,0.8493890979
-0.0152,0.8772442044,0.85727095
-0.0148,0.882564879,0.8649736103
-0.0144,0.8878483232,0.8724930603
-0.014,0.8930876591,0.8798251373
-0.0136,0.8982759326,0.8869659137
-0.0132,0.9034061253,0.8939114321
-0.0128,0.908471184,0.9006580373
-0.0124,0.9134640395,0.907202034
-0.012,0.918377626,0.9135397956
-0.0116,0.923204905,0.9196679036
-0.0112,0.9279388863,0.9255830661
-0.0108,0.9325726457,0.9312820895
-0.0104,0.9370993468,0.9367616887
-0.01,0.9415122617,0.9420190638
-0.0096,0.9458047852,0.9470512826
-0.0092,0.9499704583,0.9518556217
-0.0088,0.9540029816,0.9564294647
-0.0084,0.9578962323,0.9607703315
-0.008,0.9616442805,0.9648757942
-0.0076,0.9652414035,0.9687437845
-0.0072,0.9686820968,0.9723720269
-0.0068,0.9719610891,0.9757586625
-0.0064,0.9750733517,0.9789017543
-0.006,0.9780141082,0.9817997443
-0.0056,0.9807788445,0.9844508872
-0.0052,0.9833633138,0.9868538769
-0.0048,0.9857635447,0.9890073772
-0.0044,0.9879758457,0.9909102465
-0.004,0.9899968075,0.9925614625
-0.0036,0.9918233068,0.9939601048
-0.0032,0.993452507,0.9951054995
-0.0028,0.9948818573,0.9959969699
-0.0024,0.9961090923,0.9966341494
-0.002,0.9971322295,0.9970166928
-0.0016,0.9979495653,0.9971444112
-0.0012,0.9985596703,0.9970172431
-0.0008,0.9989613845,0.9966353085
-0.0004,0.9991538099,0.9959988544
0,0.9991363033,0.9951082655
0.0004,0.998908468,0.9939640672
0.0008,0.998470145,0.9925669244
0.0012,0.9978214028,0.9909176419
0.0016,0.9969625278,0.9890171599
0.002,0.9958940125,0.986866551
0.0024,0.9946165456,0.9844670447
0.0028,0.9931309988,0.9818200162
0.0032,0.9914384161,0.9789269694
0.0036,0.9895400012,0.9757894596
0.004,0.987437106,0.9724092679
0.0044,0.9851312175,0.9687883035
0.0048,0.9826239461,0.9649285932
0.0052,0.9799170147,0.9608322979
0.0056,0.9770122447,0.9565016728
0.006,0.9739115464,0.951939168
0.0064,0.9706169084,0.9471472265
0.0068,0.9671303851,0.9421286224
0.0072,0.9634540882,0.9368860465
0.0076,0.9595901773,0.9314224526
0.008,0.9555408496,0.9257408376
0.0084,0.9513083339,0.9198443328
0.0088,0.9468948805,0.913736176
0.0092,0.9423027565,0.907419747
0.0096,0.9375342414,0.9008985064
0.01,0.9325916172,0.8941760339
0.0104,0.9274771696,0.8872559131
0.0108,0.9221931808,0.8801423493
0.0112,0.9167419294,0.8728384322
0.0116,0.9111256876,0.8653489905
0.012,0.9053467205,0.8576775948
0.0124,0.8994072883,0.8498286191
0.0128,0.8933096438,0.8418061323
0.0132,0.8870560362,0.8336148319
0.0136,0.8806487147,0.8252590508
0.014,0.8740899303,0.8167430694
0.0144,0.867381939,0.8080717304
0.0148,0.8605270089,0.7992494826
0.0152,0.8535274238,0.7902814577
0.0156,0.8463854895,0.7811719324
0.016,0.8391035399,0.7719260886
0.0164,0.8316839445,0.7625488629
0.0168,0.8241291149,0.7530452518
0.0172,0.8164415119,0.7434206716
0.0176,0.8086236536,0.7336792291
0.018,0.8006781238,0.7238274573
0.0184,0.792607579,0.713869911
0.0188,0.7844147557,0.7038116691
0.0192,0.7761024792,0.6936580383
0.0196,0.7676736713,0.6834149142
0.02,0.7591313571,0.6730871577
