epsilon,F_robust,F_default
-0.02,0.6828813733,0.7469695401
-0.0196,0.688837901,0.7567206954
-0.0192,0.6948108867,0.7663707623
-0.0188,0.7008051313,0.7759121428
-0.0184,0.7068253129,0.7853375009
-0.018,0.7128759293,0.7946397529
-0.0176,0.7189612304,0.8038117106
-0.0172,0.7250851582,0.8128463514
-0.0168,0.7312512832,0.8217367454
-0.0164,0.7374627251,0.8304760636
-0.016,0.7437220865,0.8390576298
-0.0156,0.7500313854,0.8474748934
-0.0152,0.7563919803,0.8557212899
-0.0148,0.7628045005,0.8637905949
-0.0144,0.7692687812,0.8716765344
-0.014,0.7757837945,0.8793732266
-0.0136,0.7823475874,0.8868746166
-0.0132,0.788957229,0.8941749563
-0.0128,0.7956087523,0.901268619
-0.0124,0.8022971178,0.9081503816
-0.012,0.8090161685,0.9148146965
-0.0116,0.8157586045,0.9212566168
-0.0112,0.8225159617,0.9274713416
-0.0108,0.8292786036,0.9334537798
-0.0104,0.8360357211,0.9391994363
-0.01,0.842775344,0.9447039963
-0.0096,0.8494843658,0.9499632511
-0.0092,0.8561485792,0.9549729852
-0.0088,0.8627527242,0.9597296729
-0.0084,0.8692805495,0.9642294224
-0.008,0.8757148818,0.9684688141
-0.0076,0.8820377144,0.9724447294
-0.0072,0.8882303029,0.976153945
-0.0068,0.8942732666,0.9795937039
-0.0064,0.9001467132,0.9827612918
-0.006,0.9058303589,0.9856543826
-0.0056,0.9113036644,0.9882706398
-0.0052,0.9165459767,0.990608224
-0.0048,0.9215366731,0.9926651653
-0.0044,0.926255314,0.9944400151
-0.004,0.9306817923,0.9959313343
-0.0036,0.9347964908,0.9971380331
-0.0032,0.938580431,0.9980590798
-0.0028,0.9420154242,0.9986939097
-0.0024,0.945084224,0.9990419533
-0.002,0.9477706429,0.9991029308
-0.0016,0.9500597113,0.9988768575
-0.0012,0.9519377965,0.9983638665
-0.0008,0.9533926921,0.9975642706
-0.0004,0.9544137554,0.9964786913
0,0.9549919393,0.9951082655
0.0004,0.9551199298,0.9934536088
0.0008,0.9547921641,0.9915162262
0.0012,0.9540048824,0.9892974877
0.0016,0.9527561524,0.9867992409
0.002,0.9510459041,0.9840232708
0.0024,0.9488758542,0.9809717624
0.0028,0.9462495876,0.9776470446
0.0032,0.9431724346,0.9740516448
0.0036,0.93965146,0.9701883201
0.004,0.9356953855,0.9660600299
0.0044,0.9313145135,0.9616700037
0.0048,0.9265206357,0.9570214316
0.0052,0.9213269305,0.9521182287
0.0056,0.9157478566,0.9469637038
0.006,0.9097990237,0.9415621736
0.0064,0.9034970811,0.9359175726
0.0068,0.8968595804,0.9300341849
0.0072,0.889904847,0.9239166183
0.0076,0.8826518398,0.9175697414
0.008,0.8751200257,0.9109979967
0.0084,0.8673292423,0.9042066437
0.0088,0.8592995703,0.8972010914
0.0092,0.8510512079,0.8899863365
0.0096,0.842604348,0.8825682421
0.01,0.8339790714,0.8749522073
0.0104,0.8251952312,0.8671443107
0.0108,0.8162723622,0.8591504948
0.0112,0.8072295846,0.8509767094
0.0116,0.7980855191,0.8426292882
0.012,0.7888582238,0.834114801
0.0124,0.7795651191,0.8254396505
0.0128,0.7702229364,0.8166103811
0.0132,0.7608476634,0.8076339965
0.0136,0.7514545173,0.7985171423
0.014,0.742057898,0.7892669848
0.0144,0.7326713782,0.7798905218
0.0148,0.7233076301,0.7703950144
0.0152,0.7139785488,0.7607875711
0.0156,0.7046950751,0.7510757113
0.016,0.6954672909,0.74126682
0.0164,0.6863044013,0.7313684384
0.0168,0.6772147317,0.7213881861
0.0172,0.6682057436,0.7113336854
0.0176,0.6592840405,0.7012127196
0.018,0.6504553804,0.691032878
0.0184,0.6417246765,0.6808021278
0.0188,0.6330960449,0.6705280166
0.0192,0.6245727943,0.6602189197
0.0196,0.6161574617,0.6498823582
0.02,0.6078518275,0.6395263616
