epsilon,F_robust,F_default
-0.02,0.4977002089,0.7521496487
-0.0196,0.5106024293,0.7617014858
-0.0192,0.5235672133,0.7711255482
-0.0188,0.5365837238,0.780417115
-0.0184,0.5496407519,0.7895708984
-0.018,0.5627267288,0.7985819938
-0.0176,0.5758297292,0.8074456821
-0.0172,0.5889374819,0.8161574504
-0.0168,0.6020373819,0.8247120309
-0.0164,0.6151165018,0.8331052434
-0.016,0.6281616049,0.8413324119
-0.0156,0.6411591558,0.8493890979
-0.0152,0.6540953414,0.85727095
-0.0148,0.6669560827,0.8649735969
-0.0144,0.6797270561,0.8724930599
-0.014,0.6923937075,0.8798251373
-0.0136,0.7049412781,0.8869659137
-0.0132,0.7173548224,0.8939114321
-0.0128,0.7296192294,0.9006580373
-0.0124,0.74171925,0.907202034
-0.012,0.7536395175,0.9135397956
-0.0116,0.7653645767,0.9196679036
-0.0112,0.7768789096,0.9255830661
-0.0108,0.7881669624,0.9312820895
-0.0104,0.7992131746,0.9367616873
-0.01,0.8100020111,0.9420190638
-0.0096,0.8205179888,0.9470512826
-0.0092,0.8307457112,0.9518556217
-0.0088,0.8406698987,0.9564294647
-0.0084,0.850275423,0.9607703315
-0.008,0.8595473381,0.9648757941
-0.0076,0.8684709158,0.9687437845
-0.0072,0.8770316805,0.9723720269
-0.0068,0.8852154413,0.9757586625
-0.0064,0.8930083287,0.9789017325
-0.006,0.9003968296,0.9817997443
-0.0056,0.9073678191,0.9844508872
-0.0052,0.9139085992,0.9868538769
-0.0048,0.9200069312,0.9890073772
-0.0044,0.925651069,0.9909102465
-0.004,0.9308297949,0.9925614625
-0.0036,0.9355324498,0.9939601048
-0.0032,0.939748969,0.9951054995
-0.0028,0.9434699104,0.9959969699
-0.0024,0.946686488,0.9966341497
-0.002,0.9493905996,0.9970166928
-0.0016,0.9515748544,0.9971444112
-0.0012,0.9532326035,0.9970172431
-0.0008,0.9543579619,0.9966353085
-0.0004,0.9549458349,0.9959988544
0,0.9549919393,0.9951082655
0.0004,0.9544928251,0.9939640672
0.0008,0.9534458938,0.9925669244
0.0012,0.9518494159,0.9909176419
0.0016,0.9497025457,0.9890171599
0.002,0.9470053335,0.986866551
0.0024,0.9437587375,0.9844670447
0.0028,0.9399646308,0.9818200162
0.0032,0.9356258085,0.9789269694
0.0036,0.9307459915,0.9757894596
0.004,0.9253298249,0.9724092679
0.0044,0.9193828816,0.9687883035
0.0048,0.9129116546,0.9649285932
0.0052,0.9059235508,0.9608322979
0.0056,0.8984268851,0.9565016728
0.006,0.8904308651,0.951939168
0.0064,0.8819455789,0.9471472265
0.0068,0.8729819782,0.9421286223
0.0072,0.8635518604,0.9368860465
0.0076,0.8536678432,0.9314224526
0.008,0.8433433451,0.9257408376
0.0084,0.8325925533,0.9198443328
0.0088,0.8214304028,0.913736176
0.0092,0.8098725355,0.907419747
0.0096,0.7979352739,0.9008985064
0.01,0.7856355833,0.8941760339
0.0104,0.7729910335,0.8872559131
0.0108,0.7600197601,0.8801423501
0.0112,0.7467404245,0.8728384322
0.0116,0.7331721659,0.8653489904
0.012,0.7193345663,0.8576775948
0.0124,0.7052475948,0.8498286191
0.0128,0.6909315665,0.8418061299
0.0132,0.6764070921,0.8336148319
0.0136,0.6616950284,0.8252590508
0.014,0.6468164321,0.8167430698
0.0144,0.631792504,0.8080717305
0.0148,0.6166445409,0.7992494826
0.0152,0.6013938854,0.790281458
0.0156,0.5860618723,0.7811719332
0.016,0.5706697758,0.7719260892
0.0164,0.5552387661,0.7625488629
0.0168,0.5397898488,0.7530452507
0.0172,0.5243438204,0.7434206717
0.0176,0.5089212222,0.7336792291
0.018,0.4935422815,0.7238274573
0.0184,0.4782268767,0.7138699111
0.0188,0.462994482,0.703811671
0.0192,0.4478641253,0.6936580384
0.0196,0.4328543504,0.6834149142
0.02,0.4179831691,0.6730871576
