epsilon,F_robust,F_default
-0.02,0.8690242853,0.198652876
-0.0196,0.8753420414,0.2158535044
-0.0192,0.8814467385,0.2336204437
-0.0188,0.8873425862,0.2519272521
-0.0184,0.8930338706,0.2707401549
-0.018,0.8985249369,0.2900275587
-0.0176,0.9038201588,0.3097560809
-0.0172,0.9089239434,0.3298893226
-0.0168,0.9138407037,0.350389534
-0.0164,0.9185748501,0.3712205287
-0.016,0.9231307844,0.3923410883
-0.0156,0.9275128854,0.413713907
-0.0152,0.9317254803,0.4352964982
-0.0148,0.9357728551,0.4570454029
-0.0144,0.9396592478,0.4789207994
-0.014,0.9433888297,0.5008772244
-0.0136,0.9469656977,0.5228709268
-0.0132,0.9503938748,0.5448600007
-0.0128,0.9536772944,0.5667972489
-0.0124,0.956819801,0.5886394292
-0.012,0.959825135,0.6103414839
-0.0116,0.9626969599,0.6318581589
-0.0112,0.965438799,0.6531447908
-0.0108,0.9680540859,0.6741574608
-0.0104,0.9705461341,0.694851563
-0.01,0.9729181393,0.7151840077
-0.0096,0.9751731776,0.7351119596
-0.0092,0.9773141933,0.754592636
-0.0088,0.9793440275,0.7735840973
-0.0084,0.9812653795,0.7920464511
-0.008,0.9830807993,0.8099398477
-0.0076,0.9847927306,0.827225726
-0.0072,0.9864034765,0.8438668247
-0.0068,0.9879151957,0.8598268673
-0.0064,0.9893299381,0.8750720636
-0.006,0.9906496073,0.8895682563
-0.0056,0.9918759102,0.9032840021
-0.0052,0.9930105395,0.9161898328
-0.0048,0.9940549285,0.9282567231
-0.0044,0.9950104238,0.93945889
-0.004,0.99587824,0.9497714432
-0.0036,0.9966594489,0.9591717628
-0.0032,0.9973549761,0.9676392121
-0.0028,0.9979656075,0.9751550507
-0.0024,0.9984920046,0.9817026814
-0.002,0.9989346873,0.9872676992
-0.0016,0.9992940389,0.991837769
-0.0012,0.9995703095,0.9954027911
-0.0008,0.999763616,0.997954895
-0.0004,0.9998739441,0.9994884161
0,0.9999011497,0.9999999678
0.0004,0.9998449612,0.9994884161
0.0008,0.9997049809,0.997954895
0.0012,0.9994806877,0.9954027911
0.0016,0.9991714397,0.991837769
0.002,0.9987764757,0.9872676992
0.0024,0.9982949204,0.9817026814
0.0028,0.9977257846,0.9751550507
0.0032,0.9970679722,0.9676392121
0.0036,0.9963202807,0.9591717628
0.004,0.9954814048,0.9497714432
0.0044,0.9945499415,0.93945889
0.0048,0.993524396,0.9282567231
0.0052,0.9924031863,0.9161898328
0.0056,0.9911846459,0.9032840021
0.006,0.9898670126,0.8895682563
0.0064,0.988448486,0.8750720636
0.0068,0.9869271647,0.8598268673
0.0072,0.985301096,0.8438668247
0.0076,0.9835682786,0.827225726
0.008,0.9817266487,0.8099398477
0.0084,0.9797741027,0.7920464511
0.0088,0.9777085029,0.7735840973
0.0092,0.975527672,0.754592636
0.0096,0.9732294133,0.7351119596
0.01,0.9708115141,0.7151840077
0.0104,0.9682717504,0.694851563
0.0108,0.9656078955,0.6741574608
0.0112,0.9628177223,0.6531447908
0.0116,0.9598990226,0.6318581589
0.012,0.9568496061,0.6103414839
0.0124,0.953667307,0.5886394292
0.0128,0.9503499954,0.5667972489
0.0132,0.9468955869,0.5448600007
0.0136,0.9433020412,0.5228709268
0.014,0.9395673839,0.5008772244
0.0144,0.9356896992,0.4789207994
0.0148,0.9316671486,0.4570454029
0.0152,0.9274979723,0.4352964982
0.0156,0.9231805004,0.413713907
0.016,0.9187131571,0.3923410883
0.0164,0.9140944679,0.3712205287
0.0168,0.9093230711,0.350389534
0.0172,0.9043977205,0.3298893226
0.0176,0.8993172924,0.3097560809
0.018,0.8940807931,0.2900275587
0.0184,0.8886873638,0.2707401549
0.0188,0.8831362897,0.2519272521
0.0192,0.8774269983,0.2336204437
0.0196,0.8715590767,0.2158535044
0.02,0.8655322678,0.198652876
