epsilon,F_robust,F_default
-0.02,0.8016762427,0.198652876
-0.0196,0.8104543027,0.2158535044
-0.0192,0.8189893184,0.2336204437
-0.0188,0.8272839451,0.2519272521
-0.0184,0.8353410173,0.2707401549
-0.018,0.8431635377,0.2900275587
-0.0176,0.8507546288,0.3097560809
-0.0172,0.8581175257,0.3298893226
-0.0168,0.8652555367,0.350389534
-0.0164,0.8721720268,0.3712205287
-0.016,0.8788703981,0.3923410883
-0.0156,0.8853540804,0.413713907
-0.0152,0.8916264773,0.4352964982
-0.0148,0.8976909825,0.4570454029
-0.0144,0.9035509589,0.4789207994
-0.014,0.9092097263,0.5008772244
-0.0136,0.9146705381,0.5228709268
-0.0132,0.9199365843,0.5448600007
-0.0128,0.925010976,0.5667972489
-0.0124,0.9298967391,0.5886394292
-0.012,0.9345968033,0.6103414839
-0.0116,0.939114028,0.6318581589
-0.0112,0.9434511396,0.6531447908
-0.0108,0.9476107852,0.6741574608
-0.0104,0.9515954987,0.694851563
-0.01,0.9554077204,0.7151840077
-0.0096,0.9590497772,0.7351119596
-0.0092,0.9625238947,0.754592636
-0.0088,0.9658322144,0.7735840973
-0.0084,0.9689767722,0.7920464511
-0.008,0.9719594846,0.8099398477
-0.0076,0.9747822031,0.827225726
-0.0072,0.9774466809,0.8438668247
-0.0068,0.9799545774,0.8598268673
-0.0064,0.9823074985,0.8750720636
-0.006,0.9845069521,0.8895682563
-0.0056,0.9865543303,0.9032840021
-0.0052,0.9884510541,0.9161898328
-0.0048,0.9901983734,0.9282567231
-0.0044,0.9917975181,0.93945889
-0.004,0.9932496617,0.9497714432
-0.0036,0.9945559109,0.9591717628
-0.0032,0.9957173106,0.9676392121
-0.0028,0.9967348464,0.9751550507
-0.0024,0.9976094585,0.9817026814
-0.002,0.998342027,0.9872676992
-0.0016,0.9989333777,0.991837769
-0.0012,0.9993842806,0.9954027911
-0.0008,0.9996954495,0.997954895
-0.0004,0.9998675407,0.9994884161
0,0.9999011497,0.9999999678
0.0004,0.9997968099,0.9994884161
0.0008,0.9995549884,0.997954895
0.0012,0.9991760831,0.9954027911
0.0016,0.9986604176,0.991837769
0.002,0.9980082383,0.9872676992
0.0024,0.9972197076,0.9817026814
0.0028,0.9962948998,0.9751550507
0.0032,0.9952337961,0.9676392121
0.0036,0.994036274,0.9591717628
0.004,0.9927021126,0.9497714432
0.0044,0.9912309764,0.93945889
0.0048,0.9896224124,0.9282567231
0.0052,0.9878758394,0.9161898328
0.0056,0.9859905496,0.9032840021
0.006,0.9839657342,0.8895682563
0.0064,0.9818003719,0.8750720636
0.0068,0.9794933694,0.8598268673
0.0072,0.9770434541,0.8438668247
0.0076,0.9744491876,0.827225726
0.008,0.9717089985,0.8099398477
0.0084,0.9688211501,0.7920464511
0.0088,0.9657837395,0.7735840973
0.0092,0.962594724,0.754592636
0.0096,0.9592518899,0.7351119596
0.01,0.955752848,0.7151840077
0.0104,0.9520950806,0.694851563
0.0108,0.9482759027,0.6741574608
0.0112,0.9442924904,0.6531447908
0.0116,0.9401418749,0.6318581589
0.012,0.9358209521,0.6103414839
0.0124,0.9313265171,0.5886394292
0.0128,0.926655214,0.5667972489
0.0132,0.9218036131,0.5448600007
0.0136,0.9167681931,0.5228709268
0.014,0.9115453598,0.5008772244
0.0144,0.9061314626,0.4789207994
0.0148,0.9005228195,0.4570454029
0.0152,0.8947157256,0.4352964982
0.0156,0.8887064803,0.413713907
0.016,0.8824914208,0.3923410883
0.0164,0.8760669368,0.3712205287
0.0168,0.8694294827,0.350389534
0.0172,0.8625756146,0.3298893226
0.0176,0.8555020377,0.3097560809
0.018,0.8482056066,0.2900275587
0.0184,0.8406833742,0.2707401549
0.0188,0.8329326104,0.2519272521
0.0192,0.8249508438,0.2336204437
0.0196,0.8167358866,0.2158535044
0.02,0.8082858653,0.198652876
