epsilon,F_robust,F_default
-0.02,0.8192975058,0.03335276492
-0.0196,0.8268034007,0.04402854916
-0.0192,0.8341389799,0.05610774693
-0.0188,0.8413035202,0.06955318021
-0.0184,0.8482965286,0.08432346592
-0.018,0.8551177368,0.1003731433
-0.0176,0.8617670902,0.1176528137
-0.0172,0.8682447337,0.136109293
-0.0168,0.8745510037,0.1556857746
-0.0164,0.8806864155,0.1763220052
-0.016,0.8866516469,0.1979544693
-0.0156,0.8924475301,0.2205165855
-0.0152,0.8980750381,0.2439389107
-0.0148,0.9035352675,0.2681493545
-0.0144,0.9088294299,0.2930734008
-0.014,0.9139588332,0.3186343369
-0.0136,0.9189248729,0.3447534899
-0.0132,0.9237290144,0.371350469
-0.0128,0.928372781,0.3983434126
-0.0124,0.9328577404,0.4256492402
-0.012,0.9371854901,0.4531839085
-0.0116,0.9413576453,0.48086267
-0.0112,0.9453758255,0.5086003332
-0.0108,0.9492416403,0.5363115259
-0.0104,0.9529566792,0.5639109569
-0.01,0.9565224992,0.5913136793
-0.0096,0.9599406101,0.6184353514
-0.0092,0.9632124669,0.6451924968
-0.0088,0.9663394569,0.6715027608
-0.0084,0.9693228907,0.6972851643
-0.008,0.9721639906,0.7224603528
-0.0076,0.9748638829,0.7469508408
-0.0072,0.9774235895,0.77068125
-0.0068,0.9798440187,0.7935785419
-0.0064,0.9821259584,0.8155722418
-0.006,0.9842700693,0.8365946563
-0.0056,0.9862768789,0.8565810816
-0.0052,0.9881467762,0.8754700023
-0.0048,0.9898800072,0.893203281
-0.0044,0.9914766698,0.9097263375
-0.004,0.9929367127,0.924988316
-0.0036,0.9942599303,0.9389422424
-0.0032,0.9954459631,0.9515451687
-0.0028,0.9964942955,0.9627583047
-0.0024,0.9974042554,0.9725471382
-0.002,0.9981750153,0.9808815406
-0.0016,0.9988055931,0.9877358597
-0.0012,0.9992948537,0.9930889989
-0.0008,0.9996415118,0.9969244822
-0.0004,0.9998441354,0.9992305043
0,0.9999011497,0.9999999678
0.0004,0.9998108418,0.9992305043
0.0008,0.9995713659,0.9969244822
0.0012,0.9991807499,0.9930889989
0.0016,0.9986369011,0.9877358597
0.002,0.9979376154,0.9808815406
0.0024,0.9970805822,0.9725471382
0.0028,0.9960633972,0.9627583047
0.0032,0.9948835675,0.9515451687
0.0036,0.9935385231,0.9389422424
0.004,0.9920256277,0.924988316
0.0044,0.9903421882,0.9097263375
0.0048,0.9884854664,0.893203281
0.0052,0.9864526899,0.8754700023
0.0056,0.9842410664,0.8565810816
0.006,0.9818477922,0.8365946563
0.0064,0.9792700673,0.8155722418
0.0068,0.9765051098,0.7935785419
0.0072,0.9735501649,0.77068125
0.0076,0.9704025226,0.7469508408
0.008,0.9670595286,0.7224603528
0.0084,0.9635185985,0.6972851643
0.0088,0.9597772327,0.6715027608
0.0092,0.9558330288,0.6451924968
0.0096,0.9516836973,0.6184353514
0.01,0.947327072,0.5913136793
0.0104,0.9427611269,0.5639109569
0.0108,0.9379839895,0.5363115259
0.0112,0.9329939528,0.5086003332
0.0116,0.9277894873,0.48086267
0.012,0.9223692593,0.4531839085
0.0124,0.916732135,0.4256492402
0.0128,0.9108772001,0.3983434126
0.0132,0.9048037669,0.371350469
0.0136,0.8985113865,0.3447534899
0.014,0.891999864,0.3186343369
0.0144,0.8852692615,0.2930734008
0.0148,0.878319911,0.2681493545
0.0152,0.8711524238,0.2439389107
0.0156,0.8637676964,0.2205165855
0.016,0.8561669257,0.1979544693
0.0164,0.8483516013,0.1763220052
0.0168,0.8403235259,0.1556857746
0.0172,0.8320848132,0.136109293
0.0176,0.8236378933,0.1176528137
0.018,0.8149855186,0.1003731433
0.0184,0.8061307592,0.08432346592
0.0188,0.7970770132,0.06955318021
0.0192,0.7878280054,0.05610774693
0.0196,0.7783877834,0.04402854916
0.02,0.7687607194,0.03335276492
