This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1287
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.5493175e-01 1.46e+00 7.07e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.1977819e+02 7.22e-01 2.51e+02  -0.2 1.56e+00    -  9.99e-03 1.00e+00h  1
   2  1.2456938e+02 6.84e-01 1.23e+02  -0.3 7.83e-01    -  9.97e-01 8.63e-01f  1
   3  2.6606663e+01 3.61e-01 8.42e+01   0.1 2.37e+00    -  1.00e+00 4.36e-01f  1
   4  2.3104055e+01 3.26e-01 1.14e+02   0.1 9.05e-01    -  9.30e-01 1.07e-01h  1
   5  1.2529346e+01 1.29e+00 5.91e+01   0.3 1.52e+00    -  8.62e-01 7.28e-01f  1
   6  1.6579186e+00 3.26e-01 1.15e+01   0.1 7.56e-01    -  9.68e-01 1.00e+00f  1
   7  2.1870214e+00 2.54e-01 1.15e+01  -0.2 1.07e+00    -  8.25e-01 5.00e-01h  2
   8  2.6807667e+00 2.13e-01 1.27e+01  -0.3 1.37e+00    -  7.18e-01 2.50e-01h  3
   9  5.2009081e+00 1.89e-01 1.25e+01  -0.3 1.46e+00    -  8.28e-01 2.47e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  7.4316641e+00 1.59e-01 1.08e+01  -0.7 1.03e+00    -  9.86e-01 2.50e-01h  3
  11  8.0119822e+00 1.28e-01 8.63e+00  -1.0 7.06e-01    -  9.91e-01 2.50e-01h  3
  12  8.9031708e+00 1.19e-01 1.34e+02  -1.3 6.52e-01    -  8.38e-01 1.00e+00H  1
  13  1.7073768e+00 2.49e-02 1.43e+02  -4.0 1.79e-01    -  5.09e-01 1.00e+00f  1
  14  1.5638346e+00 2.40e-02 1.39e+02  -2.6 4.23e-02    -  1.00e+00 3.50e-02f  1
  15  4.4391303e-01 7.04e-03 4.41e+01  -3.2 7.80e-02    -  1.00e+00 7.79e-01f  1
  16  1.2941579e-01 1.06e-03 1.41e+02  -4.0 3.95e-02    -  1.00e+00 1.00e+00f  1
  17  1.1868655e-01 2.51e-04 1.39e+02  -2.0 1.72e-02    -  5.08e-01 1.00e+00f  1
  18  1.2094785e-01 5.76e-05 7.25e+01  -3.9 8.28e-03    -  1.00e+00 1.00e+00h  1
  19  1.1829082e-01 1.71e-05 7.29e+01  -4.0 4.34e-03    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.1567288e-01 1.41e-05 7.41e+01  -4.0 3.50e-03    -  1.00e+00 1.00e+00h  1
  21  1.1122073e-01 1.06e-03 6.07e+01  -4.0 3.35e-02    -  1.00e+00 1.00e+00h  1
  22  1.1551244e-01 1.06e-03 9.70e+01  -4.0 4.79e-02    -  1.00e+00 4.81e-03h  2
  23  1.1430022e-01 2.55e-04 1.63e+01  -2.7 1.65e-02    -  1.00e+00 1.00e+00h  1
  24  1.1691110e-01 8.92e-05 1.03e+02  -3.8 8.94e-03    -  1.00e+00 1.00e+00h  1
  25  1.1478111e-01 1.41e-05 6.62e+01  -3.9 3.54e-03    -  1.00e+00 1.00e+00h  1
  26  1.1317946e-01 3.94e-06 5.15e+01  -4.0 1.87e-03    -  1.00e+00 1.00e+00h  1
  27  1.1301229e-01 4.05e-06 9.36e+01  -3.7 7.62e-03    -  1.00e+00 1.25e-01h  4
  28  1.1280040e-01 1.48e-06 5.25e+01  -4.0 1.19e-03    -  1.00e+00 1.00e+00h  1
  29  1.1267767e-01 2.34e-06 5.39e+01  -4.0 2.40e-03    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.1275199e-01 2.28e-06 8.84e+01  -4.0 1.38e-02    -  1.00e+00 1.56e-02h  7
  31  1.0729758e-01 1.66e-04 9.83e+00  -4.1 1.35e-02    -  1.00e+00 1.00e+00f  1
  32  1.0858101e-01 1.31e-05 5.08e+01  -4.0 3.75e-03    -  1.00e+00 1.00e+00h  1
  33  8.5231186e-02 1.17e-02 9.29e+01  -3.7 1.39e-01    -  1.00e+00 1.00e+00f  1
  34  6.8401069e-02 4.11e-02 8.50e+01  -3.5 4.26e-01    -  1.00e+00 5.00e-01h  2
  35  7.5101381e-02 1.23e-02 7.68e+01  -4.0 9.71e-02    -  1.00e+00 1.00e+00h  1
  36  6.6549593e-02 2.46e-02 7.40e+01  -4.0 3.75e-01    -  1.00e+00 5.00e-01h  2
  37  5.5448978e-02 1.30e-02 7.05e+01  -4.0 1.66e-01    -  1.00e+00 8.08e-01h  1
  38  6.0967347e-02 1.58e-02 6.30e+01  -3.7 1.38e-01    -  1.00e+00 1.00e+00h  1
  39  5.9219998e-02 3.68e-02 8.16e+01  -4.0 2.38e-01    -  1.00e+00 6.54e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  5.3340014e-02 2.15e-02 7.94e+01  -2.4 7.69e-01    -  1.00e+00 2.16e-01h  3
  41  5.3627382e-02 1.48e-01 4.40e+01  -2.7 4.09e-01    -  1.00e+00 1.00e+00h  1
  42  3.3376242e-02 9.34e-02 5.43e+01  -2.8 3.01e-01    -  1.00e+00 1.00e+00h  1
  43  3.7731651e-02 3.97e-02 9.06e+01  -3.0 3.06e-01    -  9.57e-01 9.70e-01H  1
  44  2.3470591e-02 7.79e-02 6.75e+01  -2.4 4.00e-01    -  1.00e+00 1.00e+00h  1
  45  2.1566348e-02 2.50e-02 8.04e+01  -2.9 2.20e-01    -  1.00e+00 1.00e+00h  1
  46  1.4769152e-02 2.20e-02 7.06e+01  -3.1 2.23e-01    -  1.00e+00 1.00e+00h  1
  47  1.2205699e-02 1.51e-02 7.22e+01  -3.7 1.39e-01    -  1.00e+00 1.00e+00h  1
  48  9.6589896e-03 8.36e-03 7.03e+01  -4.0 2.35e-01    -  1.00e+00 1.00e+00h  1
  49  8.4116718e-03 3.78e-03 7.15e+01  -4.0 1.52e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.6976434e-03 2.88e-03 7.14e+01  -4.0 8.34e-02    -  1.00e+00 1.00e+00h  1
  51  6.3178835e-03 2.05e-03 7.00e+01  -4.0 4.10e-01    -  1.00e+00 1.25e-01h  4
  52  6.0318960e-03 2.21e-02 7.01e+01  -4.0 1.91e-01    -  1.00e+00 1.00e+00h  1
  53  6.1074768e-03 7.24e-03 7.14e+01  -4.0 1.08e-01    -  1.00e+00 1.00e+00h  1
  54  5.0363712e-03 4.08e-03 7.14e+01  -4.0 9.34e-02    -  1.00e+00 1.00e+00h  1
  55  4.1610017e-03 1.15e-03 7.14e+01  -4.0 4.00e-02    -  1.00e+00 1.00e+00h  1
  56  5.6150895e-03 1.35e-03 7.01e+01  -4.0 9.59e-02    -  1.00e+00 1.00e+00H  1
  57  4.3658297e-03 1.39e-03 7.00e+01  -4.0 1.72e-01    -  1.00e+00 1.00e+00h  1
  58  3.7853686e-03 1.76e-03 7.00e+01  -4.1 7.36e-01    -  1.00e+00 5.20e-02h  5
  59  3.9007337e-03 1.87e-03 7.15e+01  -4.0 4.17e-01    -  1.00e+00 6.25e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  3.4958801e-03 4.25e-03 7.14e+01  -4.0 8.11e-02    -  1.00e+00 1.00e+00h  1
  61  3.2837914e-03 4.08e-03 7.00e+01  -4.0 9.25e-01    -  1.00e+00 6.25e-02h  5
  62  3.1135356e-03 4.30e-03 7.14e+01  -4.0 8.11e-02    -  1.00e+00 1.00e+00h  1
  63  3.0813903e-03 4.84e-03 7.14e+01  -3.7 1.32e+00    -  1.00e+00 2.13e-02h  6
  64  2.5681780e-03 5.90e-03 7.00e+01  -4.0 3.57e-01    -  1.00e+00 2.50e-01h  3
  65  2.5687407e-03 1.00e-02 7.00e+01  -4.0 3.00e-01    -  1.00e+00 5.00e-01h  2
  66  2.4963448e-03 9.40e-03 7.00e+01  -4.0 3.48e-01    -  1.00e+00 1.25e-01h  4
  67  2.3967135e-03 1.71e-02 7.14e+01  -4.0 2.91e-01    -  1.00e+00 5.00e-01h  2
  68  2.1816030e-03 1.30e-02 7.14e+01  -4.0 1.39e-01    -  1.00e+00 1.00e+00h  1
  69  2.1660649e-03 1.14e-02 7.00e+01  -4.0 1.81e-01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  1.9681867e-03 8.35e-03 7.14e+01  -4.0 9.10e-02    -  1.00e+00 1.00e+00h  1
  71  1.8991335e-03 7.34e-03 7.00e+01  -4.0 2.42e-01    -  1.00e+00 1.25e-01h  4
  72  1.9770898e-03 1.34e-02 7.14e+01  -4.0 2.08e-01    -  1.00e+00 5.00e-01h  2
  73  1.7133189e-03 4.71e-03 7.14e+01  -4.0 1.02e-01    -  1.00e+00 1.00e+00h  1
  74  2.1102167e-03 4.27e-03 7.14e+01  -4.0 8.77e-02    -  1.00e+00 1.00e+00h  1
  75  2.0618875e-03 3.91e-03 7.00e+01  -4.0 5.22e-01    -  1.00e+00 1.25e-01h  4
  76  2.0363841e-03 2.80e-03 7.14e+01  -4.0 1.20e-01    -  1.00e+00 2.50e-01h  3
  77  1.7373997e-03 3.71e-03 7.01e+01  -4.1 1.20e-01    -  1.00e+00 5.00e-01h  2
  78  1.7012654e-03 3.68e-03 7.01e+01  -4.1 1.23e+00    -  1.00e+00 1.56e-02h  7
  79  1.6575347e-03 3.95e-03 7.01e+01  -4.0 2.31e-01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  1.8131107e-03 4.68e-04 7.14e+01  -4.0 1.44e-01    -  1.00e+00 1.00e+00H  1
  81  1.6685468e-03 1.50e-03 7.14e+01  -4.0 2.01e-01    -  1.00e+00 2.50e-01h  3
  82  5.3130532e-03 1.82e-03 7.02e+01  -4.1 1.57e-01    -  1.00e+00 1.00e+00H  1
  83  1.4771827e-03 7.91e-03 7.13e+01  -4.1 1.92e-01    -  1.00e+00 1.00e+00h  1
  84  2.8278085e-03 1.45e-03 7.01e+01  -4.0 7.50e-02    -  1.00e+00 1.00e+00H  1
  85  1.9235180e-03 2.01e-03 7.02e+01  -4.1 6.72e-02    -  1.00e+00 1.00e+00h  1
  86  2.4519095e-03 2.26e-03 7.13e+01  -4.1 1.00e-01    -  1.00e+00 1.00e+00H  1
  87  1.4920976e-03 2.94e-03 7.02e+01  -4.1 1.02e-01    -  1.00e+00 1.00e+00h  1
  88  1.4487041e-03 3.21e-03 7.01e+01  -4.0 3.24e-01    -  1.00e+00 1.25e-01h  4
  89  1.4364968e-03 3.16e-03 7.13e+01  -4.0 4.47e-01    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.5558468e-03 9.59e-04 7.00e+01  -4.0 6.15e-02    -  1.00e+00 1.00e+00h  1
  91  1.4395802e-03 4.06e-04 7.00e+01  -4.0 9.60e-02    -  1.00e+00 5.00e-01h  2
  92  1.3399164e-03 1.89e-03 7.14e+01  -4.0 9.34e-02    -  1.00e+00 5.00e-01h  2
  93  1.3136447e-03 9.71e-04 7.14e+01  -4.0 1.03e-01    -  1.00e+00 5.00e-01h  2
  94  2.0078483e-03 1.50e-03 7.00e+01  -4.0 1.22e-01    -  1.00e+00 1.00e+00H  1
  95  1.8754660e-03 1.09e-02 7.13e+01  -4.1 1.09e-01    -  1.00e+00 1.00e+00h  1
  96  1.5266161e-03 7.63e-03 7.01e+01  -4.1 1.92e-01    -  1.00e+00 5.00e-01h  2
  97  2.5387222e-03 1.52e-03 7.13e+01  -4.1 1.13e-01    -  1.00e+00 1.00e+00H  1
  98  1.6446014e-03 2.81e-03 7.13e+01  -4.1 1.15e-01    -  1.00e+00 5.00e-01h  2
  99  1.4717049e-03 3.28e-03 7.13e+01  -4.1 3.03e+00    -  3.24e-01 2.10e-02h  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.4323005e-03 3.32e-03 7.13e+01  -4.1 1.85e+00    -  1.00e+00 6.75e-03h  8
 101  1.3796063e-03 3.12e-03 7.01e+01  -4.1 5.20e-01    -  1.00e+00 6.25e-02h  5
 102  1.3267011e-03 3.72e-03 7.01e+01  -4.1 1.42e+00    -  1.00e+00 2.41e-02h  6
 103  1.3182903e-03 6.37e-03 7.13e+01  -4.1 1.71e-01    -  1.00e+00 5.00e-01h  2
 104  1.2695620e-03 1.21e-02 7.13e+01  -4.1 2.08e+00    -  8.33e-01 5.13e-02h  5
 105  1.2367144e-03 1.14e-02 7.13e+01  -4.0 4.64e-01    -  1.00e+00 1.25e-01h  4
 106  1.1782927e-03 8.78e-03 7.13e+01  -4.0 2.25e-01    -  1.00e+00 2.50e-01h  3
 107  1.1560113e-03 1.01e-02 7.01e+01  -4.0 8.51e-01    -  1.00e+00 6.25e-02h  5
 108  1.1505269e-03 1.12e-02 7.13e+01  -3.6 4.80e+00    -  1.00e+00 9.17e-03h  6
 109  1.1439927e-03 2.04e-02 6.97e+01  -3.7 3.88e-01    -  1.00e+00 5.00e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.1294486e-03 4.63e-02 7.17e+01  -3.8 1.56e+00    -  1.00e+00 1.25e-01h  4
 111  2.0449457e-03 3.69e-02 6.98e+01  -4.0 3.69e-01    -  1.00e+00 2.50e-01h  3
 112  1.8874867e-03 7.45e-02 7.15e+01  -4.1 7.70e-01    -  1.00e+00 5.00e-01h  2
 113  1.5669406e-03 6.24e-02 7.14e+01  -4.1 7.53e-01    -  9.90e-01 1.25e-01h  4
 114  1.3552323e-03 8.53e-02 7.01e+01  -4.1 6.67e-01    -  1.00e+00 5.00e-01h  2
 115  1.7493376e-03 6.20e-02 7.13e+01  -4.1 4.28e-01    -  1.00e+00 2.50e-01h  3
 116  1.3801286e-03 3.16e-02 7.02e+01  -4.1 2.78e-01    -  1.00e+00 1.00e+00h  1
 117  1.8439757e-03 2.82e-02 7.13e+01  -4.1 5.67e-01    -  1.00e+00 2.50e-01h  3
 118  1.5792053e-03 2.83e-02 7.13e+01  -4.1 4.75e-01    -  1.00e+00 2.50e-01h  3
 119  1.4427404e-03 1.86e-02 7.13e+01  -4.1 2.02e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  4.5988134e-03 2.49e-02 7.02e+01  -4.1 2.28e-01    -  1.00e+00 1.00e+00H  1
 121  4.1568775e-03 2.47e-02 7.02e+01  -4.1 1.24e+00    -  1.00e+00 6.25e-02h  5
 122  3.0472478e-03 1.95e-02 7.02e+01  -4.1 5.81e-01    -  9.26e-01 1.25e-01h  4
 123  2.5664388e-03 1.94e-02 7.13e+01  -4.1 1.12e+00    -  7.76e-01 4.61e-02h  5
 124  2.3589027e-03 1.69e-02 7.02e+01  -4.1 2.56e-01    -  1.00e+00 2.50e-01h  3
 125  1.3411101e-03 8.88e-03 7.02e+01  -4.1 1.85e-01    -  1.00e+00 1.00e+00h  1
 126  1.2956857e-03 5.70e-03 7.13e+01  -4.1 1.01e-01    -  1.00e+00 5.00e-01h  2
 127  1.2409047e-03 4.71e-03 7.13e+01  -4.0 4.95e-01    -  1.00e+00 1.25e-01h  4
 128  1.1513095e-03 6.44e-03 7.13e+01  -4.0 2.78e-01    -  1.00e+00 2.50e-01h  3
 129  1.0904584e-03 1.37e-03 7.00e+01  -4.0 5.91e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  1.1339966e-03 2.09e-03 7.00e+01  -4.0 2.92e-01    -  1.00e+00 1.25e-01h  4
 131  1.2910653e-03 1.21e-03 7.14e+01  -4.0 7.12e-02    -  1.00e+00 5.00e-01h  2
