This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     9816
Number of nonzeros in inequality constraint Jacobian.:        8
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1388
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      396
                     variables with only upper bounds:        0
Total number of equality constraints.................:     1188
Total number of inequality constraints...............:        1
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        1

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.7804660e+01 1.50e+00 4.69e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.1283964e-01 6.06e-01 6.84e+00  -0.4 9.23e-01    -  9.85e-01 1.00e+00f  1
   2  2.8992161e-01 3.50e-01 1.34e+00  -0.6 9.42e-01    -  9.02e-01 1.00e+00h  1
   3  3.2786869e-01 1.84e-01 3.34e+00  -1.3 5.46e-01    -  8.55e-01 1.00e+00h  1
   4  3.7615583e-01 2.64e-01 2.57e+00  -1.2 6.60e-01    -  9.00e-01 1.00e+00h  1
   5  4.0291956e-01 3.31e-01 2.54e+00  -1.3 6.67e-01    -  9.75e-01 1.00e+00h  1
   6  3.1702729e-01 2.67e-01 2.48e+00  -1.4 7.74e-01    -  9.91e-01 5.77e-01h  1
   7  3.1296731e-01 3.01e-01 1.63e+00  -1.4 8.03e-01    -  8.66e-01 1.00e+00h  1
   8  1.2599930e+00 2.00e-01 5.52e-01  -1.7 6.17e-01    -  9.84e-01 1.00e+00h  1
   9  1.8551098e-01 6.58e-02 3.16e-01  -1.8 3.05e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.4281990e-01 9.55e-03 1.79e-01  -2.6 1.11e-01    -  1.00e+00 8.88e-01h  1
  11  1.3739782e-01 5.72e-03 7.53e-02  -3.5 9.77e-02    -  1.00e+00 1.00e+00h  1
  12  1.1208081e-01 1.52e-03 4.74e-02  -3.7 4.70e-02    -  1.00e+00 8.59e-01h  1
  13  1.0249449e-01 6.66e-04 2.42e-02  -4.0 3.02e-02    -  1.00e+00 1.00e+00h  1
  14  7.9588141e-02 1.16e-02 3.62e-02  -4.0 1.12e-01    -  1.00e+00 1.00e+00h  1
  15  6.5587615e-02 6.96e-02 5.72e-02  -3.6 3.46e-01    -  9.50e-01 1.00e+00h  1
  16  1.1382238e-01 4.66e-02 3.40e-02  -4.0 2.12e-01    -  1.00e+00 1.00e+00h  1
  17  1.5585010e-01 9.08e-03 3.82e-02  -4.1 1.49e-01    -  1.00e+00 9.90e-01h  1
  18  4.6387703e-02 1.02e-02 9.21e-02  -4.1 1.15e-01    -  1.00e+00 1.00e+00h  1
  19  4.3528094e-02 9.38e-04 2.84e-02  -4.0 3.88e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  4.1601775e-02 7.89e-04 2.97e-02  -4.0 3.07e-02    -  1.00e+00 1.00e+00h  1
  21  3.8456137e-02 2.09e-02 1.64e-01  -3.7 8.55e-01    -  1.00e+00 2.50e-01h  3
  22  7.1445283e-02 3.00e-02 5.49e-01  -4.0 3.98e-01    -  1.00e+00 1.00e+00H  1
  23  7.3245773e-02 2.38e-02 5.86e-01  -4.1 5.40e-01    -  1.00e+00 2.50e-01h  3
  24  4.6570250e-02 2.18e-02 1.85e-01  -4.1 2.08e-01    -  1.00e+00 1.00e+00h  1
  25  3.8510559e-02 2.47e-02 3.62e-01  -4.1 5.59e-01    -  7.29e-01 1.67e-01H  1
  26  7.2112070e-02 1.36e-02 1.32e-01  -4.0 1.45e-01    -  1.00e+00 1.00e+00h  1
  27  2.7478733e-02 1.58e-03 9.84e-02  -4.1 4.54e-02    -  1.00e+00 1.00e+00h  1
  28  2.7080087e-02 5.97e-04 1.01e-01  -4.0 1.30e-02    -  1.00e+00 6.05e-01h  1
  29  2.5863656e-02 9.12e-04 3.08e-02  -4.0 4.01e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  2.2998327e-02 3.59e-03 5.11e-02  -4.0 6.56e-02    -  1.00e+00 1.00e+00h  1
  31  2.2435041e-02 4.86e-03 1.37e-01  -4.0 3.08e-01    -  1.00e+00 2.50e-01h  3
  32  2.0040787e-02 1.60e-02 4.97e-01  -3.5 6.44e-01    -  1.00e+00 9.70e-02H  1
  33  2.1872610e-02 3.68e-03 6.59e-02  -4.0 8.81e-02    -  1.00e+00 1.00e+00h  1
  34  1.8588507e-02 1.60e-02 8.38e-02  -4.0 1.22e-01    -  1.00e+00 1.00e+00h  1
  35  1.6956695e-01 1.37e-02 1.18e-01  -4.0 1.42e-01    -  1.00e+00 1.00e+00h  1
  36  1.5650599e-02 1.56e-02 9.89e-02  -4.1 1.58e-01    -  1.00e+00 1.00e+00h  1
  37  1.5007430e-02 1.47e-03 1.29e-02  -3.8 4.66e-02    -  1.00e+00 1.00e+00h  1
  38  1.4744607e-02 1.50e-03 6.91e-02  -4.0 1.65e-01    -  1.00e+00 2.50e-01h  3
  39  1.3569280e-02 5.60e-02 1.81e-01  -4.0 3.21e-01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  2.1639894e-02 2.38e-02 9.62e-02  -4.0 3.98e-01    -  1.00e+00 1.00e+00h  1
  41  1.0692053e-01 1.15e-02 6.19e-02  -4.1 1.47e-01    -  1.00e+00 1.00e+00h  1
  42  1.3439420e-02 1.12e-02 2.43e-02  -4.1 2.37e-01    -  1.00e+00 8.14e-01h  1
  43  8.9780230e-03 2.76e-03 1.25e-02  -4.0 1.34e-01    -  1.00e+00 1.00e+00h  1
  44  1.0060818e-02 8.37e-04 9.52e-03  -4.0 5.77e-02    -  1.00e+00 1.00e+00h  1
  45  8.2257827e-03 5.90e-04 2.09e-02  -4.0 5.51e-02    -  1.00e+00 7.49e-01h  1
  46  7.6884829e-03 2.03e-03 2.37e-02  -4.0 1.43e-01    -  1.00e+00 5.00e-01h  2
  47  7.1696631e-03 1.38e-03 1.34e-02  -4.0 5.24e-02    -  1.00e+00 1.00e+00h  1
  48  6.8962729e-03 2.77e-03 2.93e-02  -4.0 4.93e-01    -  1.00e+00 2.50e-01h  3
  49  5.9642813e-03 4.27e-03 1.75e-02  -4.0 9.61e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  8.1840914e-03 7.28e-04 1.20e-02  -4.0 1.52e-01    -  1.00e+00 1.00e+00H  1
  51  5.9042870e-03 1.77e-03 2.26e-02  -4.0 1.37e-01    -  1.00e+00 1.00e+00h  1
  52  7.0416807e-03 7.26e-04 5.37e-03  -4.0 3.46e-02    -  1.00e+00 1.00e+00h  1
  53  5.2489038e-03 1.08e-03 1.54e-02  -4.0 4.16e-02    -  1.00e+00 1.00e+00h  1
  54  5.2047113e-03 6.30e-04 5.49e-03  -4.0 3.05e-02    -  1.00e+00 1.00e+00h  1
  55  5.1393556e-03 2.02e-04 4.00e-02  -4.0 2.91e-02    -  1.00e+00 5.99e-01H  1
  56  4.6854225e-03 2.44e-03 7.89e-03  -3.6 6.88e-02    -  9.52e-01 1.00e+00h  1
  57  4.6496060e-03 2.20e-03 1.03e-01  -4.0 3.03e-01    -  6.21e-01 1.74e-02H  1
  58  5.7700781e-03 5.64e-02 7.26e-03  -3.1 2.31e+00    -  7.79e-01 1.19e-01h  3
  59  6.4629264e-03 3.06e-01 5.00e-03  -3.3 8.09e-01    -  3.13e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  5.8170921e-03 2.82e-01 6.33e-03  -3.3 1.49e+00    -  6.58e-01 2.50e-01h  3
  61  5.0484577e-03 1.82e-01 7.71e-03  -3.3 1.43e+00    -  1.00e+00 2.16e-01H  1
  62  7.4125922e-02 7.26e-02 2.50e-02  -3.3 7.40e-01    -  7.02e-01 1.00e+00H  1
  63  5.6502920e-03 1.15e-01 1.39e-02  -3.3 4.44e-01    -  1.00e+00 1.00e+00h  1
  64  4.7385630e-03 8.58e-02 9.46e-03  -3.3 6.31e-01    -  1.00e+00 5.00e-01h  2
  65  4.8120582e-03 2.45e-02 7.92e-03  -3.3 2.72e-01    -  1.00e+00 1.00e+00h  1
  66  8.1948218e-03 3.36e-03 1.15e-02  -3.3 2.88e-01    -  1.00e+00 1.00e+00h  1
  67  4.2448243e-03 7.58e-02 2.45e-02  -3.3 3.64e-01    -  1.00e+00 1.00e+00h  1
  68  4.4082435e-03 3.18e-02 4.51e-03  -4.0 1.98e-01    -  9.91e-01 1.00e+00h  1
  69  4.1440155e-03 5.77e-02 3.57e-03  -3.6 9.76e-01    -  1.00e+00 2.50e-01h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  3.3931199e-03 2.97e-02 2.10e-03  -4.0 2.21e-01    -  1.00e+00 1.00e+00h  1
  71  3.5880306e-02 2.92e-03 1.53e-02  -3.2 1.21e-01    -  1.00e+00 9.11e-01H  1
  72  3.9780264e-03 3.91e-02 5.61e-02  -3.3 2.49e-01    -  1.00e+00 1.00e+00h  1
  73  3.5677327e-03 2.18e-02 3.85e-03  -3.3 1.68e-01    -  1.00e+00 1.00e+00h  1
  74  5.7896902e-03 1.21e-03 5.22e-03  -4.0 1.07e-01    -  1.00e+00 1.00e+00h  1
  75  3.2107795e-03 7.54e-03 1.50e-02  -4.1 1.12e-01    -  1.00e+00 1.00e+00h  1
  76  3.1384794e-03 4.90e-03 8.78e-04  -4.0 8.48e-02    -  1.00e+00 1.00e+00h  1
  77  1.8306205e-02 5.39e-04 1.23e-02  -4.0 1.00e-01    -  1.00e+00 8.87e-01H  1
  78  3.1035104e-03 2.56e-03 1.28e-02  -4.1 8.16e-02    -  1.00e+00 1.00e+00h  1
