method,seed,var_obj,tog_obj,tog_obj_upsampled
default,1,0.300825327548732,0.3010786370946841,0.3008256054370586
default,3,0.3006648672733329,0.3006434594936016,0.3006648770219333
default,5,0.3010477323948785,0.30114276474342266,0.30104785574468534
default,7,0.3004658036889531,0.3004718861840844,0.30046584019000344
default,9,0.3003176878062425,0.3003000867130382,0.3003177012249969
toggling,1,5.243973927968595e-5,3.690511821924818e-9,5.233918764161778e-5
toggling,3,5.31011646676643e-5,5.117146853281722e-7,5.300050804278422e-5
toggling,5,5.3913104602929295e-5,5.624599666376055e-8,5.381066524057825e-5
toggling,7,5.67757718987465e-5,1.0280723933496839e-6,5.667501587936592e-5
toggling,9,4.863543075959477e-5,8.899939262561502e-9,4.85387361599423e-5
variational,1,6.540369493999147e-8,4.410909091272298e-5,6.634078522501441e-8
variational,3,7.873834035587415e-8,4.798000717161402e-5,7.749287598869046e-8
variational,5,5.265270656146018e-8,5.476395695810603e-5,5.3705853576195195e-8
variational,7,2.9040806310313815e-8,4.523091033396883e-5,3.143146370966301e-8
variational,9,8.250464554522727e-8,5.752646813295137e-5,8.207495463132642e-8
