Error,Default,Variational,Toggling,Universal
X₁,0.6136355923127669,0.7900370522208567,0.49744753237852585,0.3421557342332911
Y₁,0.6225624339138632,0.20389952883529444,0.17350385773507543,0.22952522376542872
Z₁,0.7605105743118022,0.028642361791616135,0.09594394882667981,0.3799693708136192
X₂,0.6175446254457095,0.42262214370254314,0.8254808675184884,0.4115005073087958
Y₂,0.6259661926835627,0.38745931716460624,0.1685912337117058,0.12241481539658336
Z₂,0.7605085098169403,0.024735760660004873,0.08022101007496507,0.364000285417957
XX,0.7095583769168184,0.4609449596563972,0.53102004531521,0.5534174203256148
XY,0.42508052826479764,0.35813870734624126,0.21309541248251176,0.1963804237766475
XZ,0.6225555395588908,0.13290779066768607,0.2769551124366012,0.2979039872024558
YX,0.4250797206206478,0.258704820064847,0.20210375947469786,0.3343807655874072
YY,0.7095554633549785,0.2952869484493813,0.6588436544177452,0.36386912655881254
YZ,0.6136382566491327,0.18852707512715738,0.6831842961706375,0.35750379236515045
ZX,0.6259602974129979,0.24836910892501857,0.18153453764961014,0.19968887247787928
ZY,0.6175455294271631,0.27909741350860073,0.33321852060634854,0.31775061585770376
ZZ,1.0004268277891484,0.03032588577213375,0.076238833789379,0.46678974614900165
