Error,Default,Variational,Toggling,Universal
X₁,0.6795459966331612,0.8192131926357862,0.41544969552694505,0.5465095289519468
Y₁,0.6559216636183361,0.5734835160860235,0.484640274542546,0.43046046604887866
Z₁,0.83714714638336,0.7880499013872273,0.40886637876189014,0.34839214076635694
X₂,0.6884114493178456,0.7757206294979968,0.7685948034089268,0.3549973427995997
Y₂,0.6618860652667962,0.4877081512162167,0.4327207059295514,0.2331000352993526
Z₂,0.8377273457749869,0.3333130250139526,0.3935239745494571,0.6201635325701799
XX,0.7181032930622776,0.7757883992806676,0.5628691018376704,0.6185502198469075
XY,0.48516629542223555,0.5695827795277033,0.4020391374914358,0.23859225941239506
XZ,0.6539563121824813,0.47196878688619687,0.3677317740625557,0.4539489038324746
YX,0.48348763594046906,0.47755371772704464,0.48741831540695635,0.22802622136630782
YY,0.7175826680011346,0.45749727510415716,0.3812530713703125,0.389398829934348
YZ,0.6804911878888031,0.292591929056017,0.43434925636598526,0.34440364640291654
ZX,0.6617411154033087,0.5339547842668437,0.2998697189452461,0.2439083767958362
ZY,0.6893025437784824,0.304006607193245,0.23294377295763916,0.3628736893771792
ZZ,1.0466951505495456,0.0570381936175799,0.08627615348461147,0.4225710584010745
