Error,Default,Variational,Toggling,Universal
X₁,0.7440471484328869,0.7925014640917012,0.41321558514771367,0.5196262633210241
Y₁,0.49309168155483596,0.44086594594764583,0.43624454810210955,0.2635473583135749
Z₁,0.644925938327597,0.2903465120345215,0.058362466475321076,0.42918939809926154
X₂,0.7433091717352454,0.7332672871638659,0.7446978099687328,0.4178137532691214
Y₂,0.4930217636130979,0.3569979119295985,0.24012487060520743,0.43298113076710293
Z₂,0.6449231682697056,0.32586933341043356,0.04343795751989402,0.3782080663300226
XX,0.8011226712551264,0.7581497031143657,0.4044758827288424,0.47861635869879937
XY,0.5828405540630757,0.33312542737621037,0.25955044461623084,0.29699798221443807
XZ,0.49307980948500757,0.29355754032842424,0.39420319772381446,0.3087849391369367
YX,0.5828392530010045,0.3404583501552174,0.5122483520313164,0.2555897385460332
YY,0.8011186685278061,0.5567773007896958,0.36505317692423306,0.35622580452213687
YZ,0.7440371209100518,0.34622930664713075,0.30498575392980404,0.25243172949308246
ZX,0.49302017431560063,0.40393810820229037,0.14980390248429812,0.2066727298999687
ZY,0.7433034332858721,0.5060508211321594,0.24716750750279912,0.27984717826905064
ZZ,1.0002599526946965,0.2146273343588078,0.04455114324059618,0.36202675374459214
