Error,Default,Variational,Toggling,Universal
X₁,0.6340133877671469,0.8060672829894323,0.30520825001910756,0.26019918367374495
Y₁,0.6485955684144317,0.14038367042731179,0.4312861899947353,0.3761324621552152
Z₁,0.7473956355658828,0.018583380228338595,0.07791916481366966,0.2741558809449752
X₂,0.6346730271231946,0.2036781142877899,0.6450065429134666,0.3126717561619585
Y₂,0.6491646161448106,0.1387153257089053,0.44251403579035,0.2578881151582628
Z₂,0.7474005950133155,0.017934396568980993,0.06999031735626993,0.3374206022971073
XX,0.7124129648879777,0.37589887943619654,0.41861096965796823,0.5743689562810105
XY,0.4362472886169216,0.1969896850689444,0.40828154027165575,0.281124480984665
XZ,0.6485865775930881,0.10965383911750053,0.46302749714949354,0.23231418378899885
YX,0.4362553245741279,0.26429727342215253,0.48807299910720614,0.25806917977212357
YY,0.7124074407736101,0.46798388556443915,0.2919505160840254,0.4089489544721493
YZ,0.6340188148627739,0.2124134474484026,0.3437758773670827,0.3145557593041791
ZX,0.6491513397371195,0.2888545119907968,0.24739906091594693,0.26303723468556495
ZY,0.6346685752566152,0.4655560771832989,0.27371839887419597,0.3130340896008299
ZZ,1.000018659422565,0.01871635780153337,0.05747535809370508,0.45600216988506614
