Error,Default,Variational,Toggling,Universal
X₁,0.7763992175706012,0.7900953718835528,0.6113985874702149,0.5339614093750744
Y₁,0.5205797866727967,0.5339216418139084,0.6370334281824253,0.2801462686467071
Z₁,0.48243152376661097,0.7695641418108878,0.4373334205467352,0.18994970773642642
X₂,0.7663477646279341,0.7603772476642724,0.7912023066387264,0.3980721866038316
Y₂,0.43626107931505853,0.5029685081802487,0.3438262241959033,0.2353224235860466
Z₂,0.7137898900255575,0.3297111433144841,0.439873021763523,0.2954959545148561
XX,0.7977357373643726,0.7533104049838624,0.6578260009929904,0.4707956438190208
XY,0.38608253307982127,0.5976269886696356,0.46336641859898414,0.22636446439040933
XZ,0.45846716411387983,0.467838334238431,0.38601906563664523,0.3363968716336203
YX,0.6299643819580452,0.44736419702805424,0.5101764404255877,0.3198393430218295
YY,0.5026437083645454,0.517140504241453,0.2456715562832036,0.2092244055332193
YZ,0.26110846451743225,0.3126598384089704,0.24869438799612115,0.2980681742171979
ZX,0.5593265515570087,0.5199949789652979,0.49163896762177267,0.3628922058545197
ZY,0.3305329173502453,0.3573419058480656,0.20263661270406144,0.3216521567395692
ZZ,0.2924385379630209,0.08759080324200252,0.007353932420444286,0.2929773815856361
