This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.1.

Number of nonzeros in equality constraint Jacobian...:     4976
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   100421

Total number of variables............................:      706
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      274
                     variables with only upper bounds:        0
Total number of equality constraints.................:      585
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  5.9827971e-01 1.95e+00 3.16e-02   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  2.7055534e-01 1.27e+00 1.25e+01  -0.3 1.63e+00    -  2.52e-02 3.47e-01f  1
   2  5.3797401e-01 6.72e-01 6.65e+00  -0.3 1.07e+00    -  5.10e-01 4.73e-01f  1
   3  8.6255292e-01 5.92e-02 9.13e-01  -0.7 6.76e-01    -  8.73e-01 1.00e+00f  1
   4  1.6500015e+00 6.51e-02 5.44e-01  -1.1 2.56e+00    -  8.43e-01 5.00e-01h  2
   5  6.8314918e-01 1.07e-02 2.18e-01  -2.0 6.91e-01    -  9.18e-01 1.00e+00h  1
   6  5.1885179e-01 5.44e-04 6.68e-02  -2.8 2.26e-01    -  9.94e-01 1.00e+00h  1
   7  5.0640625e-01 1.49e-05 1.72e-02  -4.0 1.67e-02   0.0 1.00e+00 1.00e+00h  1
   8  4.8121779e-01 1.38e-04 1.61e-02  -4.0 4.44e-02  -0.5 1.00e+00 1.00e+00h  1
   9  4.3081965e-01 9.70e-04 1.34e-02  -4.0 9.23e-02  -1.0 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.7877219e-01 2.13e-03 9.20e-03  -4.0 1.22e-01  -1.4 1.00e+00 8.86e-01h  1
  11  3.5327378e-01 3.20e-04 6.93e-03  -4.0 5.01e-02  -1.0 1.00e+00 1.00e+00h  1
  12  2.5978562e-01 2.73e-02 1.33e-02  -4.0 4.27e-01  -1.5 1.00e+00 9.09e-01h  1
  13  2.1282810e-01 6.42e-04 1.72e-02  -4.0 1.59e-01  -1.1 1.00e+00 1.00e+00h  1
  14  1.7537861e-01 2.02e-03 8.36e-03  -4.0 1.17e-01  -1.5 1.00e+00 1.00e+00h  1
  15  1.6178675e-01 2.49e-04 4.87e-03  -4.0 5.28e-02  -1.1 1.00e+00 1.00e+00h  1
  16  1.4654615e-01 9.42e-04 2.67e-03  -4.0 7.63e-02  -1.6 1.00e+00 1.00e+00h  1
  17  1.4082708e-01 1.37e-04 2.33e-03  -4.0 2.85e-02  -1.2 1.00e+00 1.00e+00h  1
  18  1.2901593e-01 1.45e-03 2.53e-03  -4.0 9.73e-02  -1.6 1.00e+00 1.00e+00h  1
